GO:0000001	mitochondrion inheritance
GO:0039021	pronephric glomerulus development
GO:0039022	pronephric duct development
GO:0039023	pronephric duct morphogenesis
GO:0039501	suppression by virus of host type I interferon production
GO:0039502	suppression by virus of host type I interferon-mediated signaling pathway
GO:0039503	suppression by virus of host innate immune response
GO:0039504	suppression by virus of host adaptive immune response
GO:0039505	suppression by virus of host antigen processing and presentation of peptide antigen via MHC class II
GO:0039506	modulation by virus of host molecular function
GO:0039507	suppression by virus of host molecular function
GO:0039508	suppression by virus of host receptor activity
GO:0039509	suppression by virus of host pattern recognition receptor activity
GO:0039510	suppression by virus of host ATP-dependent RNA helicase activity
GO:0039511	suppression by virus of host interferon receptor activity
GO:0039512	suppression by virus of host protein tyrosine kinase activity
GO:0039513	suppression by virus of host catalytic activity
GO:0039514	suppression by virus of host JAK-STAT cascade
GO:0039516	modulation by virus of host catalytic activity
GO:0039517	modulation by virus of host protein serine/threonine phosphatase activity
GO:0039518	suppression by virus of host cytokine activity
GO:0039519	modulation by virus of host autophagy
GO:0039520	induction by virus of host autophagy
GO:0039521	suppression by virus of host autophagy
GO:0039522	suppression by virus of host mRNA export from nucleus
GO:0039523	suppression by virus of host RNA polymerase II activity
GO:0039524	suppression by virus of host mRNA processing
GO:0039525	modulation by virus of host chromatin organization
GO:0039526	modulation by virus of host apoptotic process
GO:0039527	suppression by virus of host TRAF-mediated signal transduction
GO:0039528	cytoplasmic pattern recognition receptor signaling pathway in response to virus
GO:0039529	RIG-I signaling pathway
GO:0039530	MDA-5 signaling pathway
GO:0039531	regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway
GO:0039532	negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway
GO:0039533	regulation of MDA-5 signaling pathway
GO:0039534	negative regulation of MDA-5 signaling pathway
GO:0039535	regulation of RIG-I signaling pathway
GO:0039536	negative regulation of RIG-I signaling pathway
GO:0039537	suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway
GO:0039538	suppression by virus of host RIG-I signaling pathway
GO:0039539	suppression by virus of host MDA-5 signaling pathway
GO:0039540	suppression by virus of host RIG-I activity
GO:0039541	suppression by virus of host RIG-I via RIG-I binding
GO:0039542	suppression by virus of host RIG-I K63-linked ubiquitination
GO:0039543	suppression by virus of host RIG-I activity by viral RNA 5' processing
GO:0039544	suppression by virus of host RIG-I activity by RIG-I proteolysis
GO:0039545	suppression by virus of host MAVS activity
GO:0039546	suppression by virus of host MAVS activity by MAVS proteolysis
GO:0039547	suppression by virus of host TRAF activity
GO:0039548	suppression by virus of host IRF3 activity
GO:0039549	suppression by virus of host IRF3 activity by inhibition of IRF3 phosphorylation
GO:0039550	suppression by virus of host IRF3 activity by inhibition of DNA binding
GO:0039551	suppression by virus of host IRF3 activity by positive regulation of IRF3 catabolic process
GO:0039553	suppression by virus of host chemokine activity
GO:0039554	suppression by virus of host MDA-5 activity
GO:0039555	suppression by virus of host MDA-5 activity via MDA-5 binding
GO:0039557	suppression by virus of host IRF7 activity
GO:0039558	suppression by virus of host IRF7 activity by positive regulation of IRF7 sumoylation
GO:0039559	suppression by virus of host IRF7 activity by positive regulation of IRF7 catabolic process
GO:0039560	suppression by virus of host IRF9 activity
GO:0039561	suppression by virus of host IRF9 activity by positive regulation of IRF9 localization to nucleus
GO:0039562	suppression by virus of host STAT activity
GO:0039563	suppression by virus of host STAT1 activity
GO:0039564	suppression by virus of host STAT2 activity
GO:0039565	suppression by virus of host STAT1 activity by positive regulation of STAT1 catabolic process
GO:0039566	suppression by virus of host STAT1 activity by tyrosine dephosphorylation of STAT1
GO:0039567	suppression by virus of host STAT1 activity by negative regulation of STAT protein import into nucleus
GO:0039568	suppression by virus of host STAT1 activity by inhibition of DNA binding
GO:0039569	suppression by virus of host STAT2 activity by positive regulation of STAT2 catabolic process
GO:0039570	suppression by virus of host STAT2 activity by negative regulation of STAT protein import into nucleus
GO:0039571	suppression by virus of host STAT1 activity by negative regulation of STAT1 tyrosine phosphorylation
GO:0039572	suppression by virus of host STAT2 activity by negative regulation of STAT2 tyrosine phosphorylation
GO:0039573	suppression by virus of host complement activation
GO:0039574	suppression by virus of host TYK2 activity
GO:0039575	suppression by virus of host TYK2 activity by negative regulation of TYK2 tyrosine phosphorylation
GO:0039576	suppression by virus of host JAK1 activity
GO:0039577	suppression by virus of host JAK1 activity by negative regulation of JAK1 phosphorylation
GO:0039578	suppression by virus of host JAK1 activity via JAK1 binding
GO:0039579	suppression by virus of host ISG15 activity
GO:0039580	suppression by virus of host PKR activity
GO:0039581	suppression by virus of host PKR activity via double-stranded RNA binding
GO:0039582	suppression by virus of host PKR activity by positive regulation of PKR nuclear localization
GO:0039583	suppression by virus of host PKR activity by positive regulation of PKR catabolic process
GO:0039584	suppression by virus of host protein kinase activity
GO:0039585	PKR signal transduction
GO:0039586	modulation by virus of host PP1 activity
GO:0039587	suppression by virus of host tetherin activity
GO:0039588	suppression by virus of host antigen processing and presentation
GO:0039589	suppression by virus of host TAP complex
GO:0039591	suppression by virus of host tapasin activity
GO:0039592	suppression by virus of G2/M transition of host mitotic cell cycle
GO:0039593	suppression by virus of host exit from mitosis
GO:0039595	induction by virus of catabolism of host mRNA
GO:0039596	modulation by virus of host protein dephosphorylation
GO:0039597	induction by virus of host endoribonuclease activity
GO:0039599	cleavage by virus of host mRNA
GO:0039600	induction by virus of host endonucleolytic cleavage-dependent mRNA catabolic process
GO:0039602	suppression by virus of host transcription initiation from RNA polymerase II promoter
GO:0039604	suppression by virus of host translation
GO:0039606	suppression by virus of host translation initiation
GO:0039607	proteolysis by virus of host translation initiation factor
GO:0039608	suppression by virus of host translation initiation factor activity by induction of host protein dephosphorylation
GO:0039611	suppression by virus of host translation initiation factor activity
GO:0039612	modulation by virus of host protein phosphorylation
GO:0039613	suppression by virus of host protein phosphorylation
GO:0039614	induction by virus of host protein phosphorylation
GO:0039633	killing by virus of host cells
GO:0039634	killing by virus of host cells during superinfection exclusion
GO:0039635	suppression by virus of host peptidoglycan biosynthetic process
GO:0039636	suppression by virus of host cell wall biogenesis
GO:0039637	catabolism by virus of host DNA
GO:0039639	suppression by virus of host cell lysis in response to superinfection
GO:0039640	cytolysis by virus via suppression of host peptidoglycan biosynthetic process
GO:0039644	suppression by virus of host NF-kappaB transcription factor activity
GO:0039645	modulation by virus of host G1/S transition checkpoint
GO:0039646	modulation by virus of host G0/G1 transition checkpoint
GO:0039647	suppression by virus of host poly(A)-binding protein activity
GO:0039648	modulation by virus of host protein ubiquitination
GO:0039649	modulation by virus of host ubiquitin-protein ligase activity
GO:0039650	suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process
GO:0039651	induction by virus of host cysteine-type endopeptidase activity involved in apoptotic process
GO:0039652	activation by virus of host NF-kappaB transcription factor activity
GO:0039653	suppression by virus of host transcription
GO:0040001	establishment of mitotic spindle localization
GO:0040002	collagen and cuticulin-based cuticle development
GO:0040003	chitin-based cuticle development
GO:0040004	collagen and cuticulin-based cuticle attachment to epithelium
GO:0040005	chitin-based cuticle attachment to epithelium
GO:0040007	growth
GO:0040008	regulation of growth
GO:0040009	regulation of growth rate
GO:0040010	positive regulation of growth rate
GO:0040011	locomotion
GO:0040012	regulation of locomotion
GO:0040013	negative regulation of locomotion
GO:0040014	regulation of multicellular organism growth
GO:0040015	negative regulation of multicellular organism growth
GO:0040016	embryonic cleavage
GO:0040017	positive regulation of locomotion
GO:0040018	positive regulation of multicellular organism growth
GO:0040019	positive regulation of embryonic development
GO:0040020	regulation of meiosis
GO:0040021	hermaphrodite germ-line sex determination
GO:0040022	feminization of hermaphroditic germ-line
GO:0040023	establishment of nucleus localization
GO:0040024	dauer larval development
GO:0040025	vulval development
GO:0040026	positive regulation of vulval development
GO:0040027	negative regulation of vulval development
GO:0040028	regulation of vulval development
GO:0040029	regulation of gene expression, epigenetic
GO:0040030	regulation of molecular function, epigenetic
GO:0040031	snRNA modification
GO:0040032	post-embryonic body morphogenesis
GO:0040033	negative regulation of translation, ncRNA-mediated
GO:0040034	regulation of development, heterochronic
GO:0040035	hermaphrodite genitalia development
GO:0040036	regulation of fibroblast growth factor receptor signaling pathway
GO:0040037	negative regulation of fibroblast growth factor receptor signaling pathway
GO:0040038	polar body extrusion after meiotic divisions
GO:0040039	inductive cell migration
GO:0040040	thermosensory behavior
GO:0042000	translocation of peptides or proteins into host
GO:0042001	hermaphrodite somatic sex determination
GO:0042003	masculinization of hermaphrodite soma
GO:0042004	feminization of hermaphrodite soma
GO:0042006	masculinization of hermaphroditic germ-line
GO:0042023	DNA endoreduplication
GO:0042026	protein refolding
GO:0042033	chemokine biosynthetic process
GO:0042034	peptidyl-L-lysine methyl ester biosynthetic process from peptidyl-lysine
GO:0042035	regulation of cytokine biosynthetic process
GO:0042036	negative regulation of cytokine biosynthetic process
GO:0042037	peptidyl-histidine methylation, to form pros-methylhistidine
GO:0042038	peptidyl-histidine methylation, to form tele-methylhistidine
GO:0042039	vanadium incorporation into metallo-sulfur cluster
GO:0042040	metal incorporation into metallo-molybdopterin complex
GO:0042042	tungsten incorporation into tungsten-molybdopterin complex
GO:0042044	fluid transport
GO:0042045	epithelial fluid transport
GO:0042046	W-molybdopterin cofactor metabolic process
GO:0042047	W-molybdopterin cofactor biosynthetic process
GO:0042048	olfactory behavior
GO:0042049	cellular acyl-CoA homeostasis
GO:0042051	compound eye photoreceptor development
GO:0042052	rhabdomere development
GO:0042053	regulation of dopamine metabolic process
GO:0042058	regulation of epidermal growth factor receptor signaling pathway
GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway
GO:0042060	wound healing
GO:0042062	long-term strengthening of neuromuscular junction
GO:0042063	gliogenesis
GO:0042065	glial cell growth
GO:0042066	perineurial glial growth
GO:0042067	establishment of ommatidial planar polarity
GO:0042068	regulation of pteridine metabolic process
GO:0042069	regulation of catecholamine metabolic process
GO:0042070	maintenance of oocyte nucleus location involved in oocyte dorsal/ventral axis specification
GO:0042073	intraflagellar transport
GO:0042074	cell migration involved in gastrulation
GO:0042075	nickel incorporation into nickel-iron-sulfur cluster via pentakis-L-cysteinyl L-histidino nickel tetrairon pentasulfide
GO:0042076	protein phosphate-linked glycosylation
GO:0042077	protein phosphate-linked glycosylation via serine
GO:0042078	germ-line stem cell division
GO:0042081	GSI anchor metabolic process
GO:0042082	GSI anchor biosynthetic process
GO:0042088	T-helper 1 type immune response
GO:0042089	cytokine biosynthetic process
GO:0042090	interleukin-12 biosynthetic process
GO:0042091	interleukin-10 biosynthetic process
GO:0042092	type 2 immune response
GO:0042093	T-helper cell differentiation
GO:0042094	interleukin-2 biosynthetic process
GO:0042095	interferon-gamma biosynthetic process
GO:0042097	interleukin-4 biosynthetic process
GO:0042098	T cell proliferation
GO:0042100	B cell proliferation
GO:0042102	positive regulation of T cell proliferation
GO:0042103	positive regulation of T cell homeostatic proliferation
GO:0042104	positive regulation of activated T cell proliferation
GO:0042107	cytokine metabolic process
GO:0042108	positive regulation of cytokine biosynthetic process
GO:0042109	lymphotoxin A biosynthetic process
GO:0042110	T cell activation
GO:0042113	B cell activation
GO:0042116	macrophage activation
GO:0042117	monocyte activation
GO:0042118	endothelial cell activation
GO:0042119	neutrophil activation
GO:0042120	alginic acid metabolic process
GO:0042121	alginic acid biosynthetic process
GO:0042122	alginic acid catabolic process
GO:0042125	protein galactosylation
GO:0042126	nitrate metabolic process
GO:0042127	regulation of cell proliferation
GO:0042128	nitrate assimilation
GO:0042129	regulation of T cell proliferation
GO:0042130	negative regulation of T cell proliferation
GO:0042133	neurotransmitter metabolic process
GO:0042135	neurotransmitter catabolic process
GO:0042136	neurotransmitter biosynthetic process
GO:0042137	sequestering of neurotransmitter
GO:0042138	meiotic DNA double-strand break formation
GO:0042139	early meiotic recombination nodule assembly
GO:0042140	late meiotic recombination nodule assembly
GO:0042144	vacuole fusion, non-autophagic
GO:0042147	retrograde transport, endosome to Golgi
GO:0042148	strand invasion
GO:0042149	cellular response to glucose starvation
GO:0042150	plasmid recombination
GO:0042152	RNA-mediated DNA recombination
GO:0042157	lipoprotein metabolic process
GO:0042158	lipoprotein biosynthetic process
GO:0042159	lipoprotein catabolic process
GO:0042160	lipoprotein modification
GO:0042161	lipoprotein oxidation
GO:0042167	heme catabolic process
GO:0042168	heme metabolic process
GO:0042173	regulation of sporulation resulting in formation of a cellular spore
GO:0042174	negative regulation of sporulation resulting in formation of a cellular spore
GO:0042176	regulation of protein catabolic process
GO:0042177	negative regulation of protein catabolic process
GO:0042178	xenobiotic catabolic process
GO:0042179	nicotine biosynthetic process
GO:0042180	cellular ketone metabolic process
GO:0042181	ketone biosynthetic process
GO:0042182	ketone catabolic process
GO:0042183	formate catabolic process
GO:0042184	xylene catabolic process
GO:0042185	m-xylene catabolic process
GO:0042186	o-xylene catabolic process
GO:0042187	p-xylene catabolic process
GO:0042188	1,1,1-trichloro-2,2-bis-(4-chlorophenyl)ethane catabolic process
GO:0042189	vanillin biosynthetic process
GO:0042190	vanillin catabolic process
GO:0042191	methylmercury metabolic process
GO:0042192	methylmercury biosynthetic process
GO:0042193	methylmercury catabolic process
GO:0042194	quinate biosynthetic process
GO:0042195	aerobic gallate catabolic process
GO:0042196	chlorinated hydrocarbon metabolic process
GO:0042197	halogenated hydrocarbon metabolic process
GO:0042198	nylon metabolic process
GO:0042199	cyanuric acid metabolic process
GO:0042200	cyanuric acid catabolic process
GO:0042201	N-cyclopropylmelamine metabolic process
GO:0042202	N-cyclopropylmelamine catabolic process
GO:0042203	toluene catabolic process
GO:0042204	s-triazine compound catabolic process
GO:0042205	chlorinated hydrocarbon catabolic process
GO:0042206	halogenated hydrocarbon catabolic process
GO:0042207	styrene catabolic process
GO:0042208	propylene catabolic process
GO:0042209	orcinol catabolic process
GO:0042210	octamethylcyclotetrasiloxane catabolic process to dimethylsilanediol
GO:0042211	dimethylsilanediol catabolic process
GO:0042212	cresol metabolic process
GO:0042213	m-cresol catabolic process
GO:0042214	terpene metabolic process
GO:0042215	anaerobic phenol-containing compound metabolic process
GO:0042216	phenanthrene catabolic process
GO:0042217	1-aminocyclopropane-1-carboxylate catabolic process
GO:0042218	1-aminocyclopropane-1-carboxylate biosynthetic process
GO:0042219	cellular modified amino acid catabolic process
GO:0042220	response to cocaine
GO:0042221	response to chemical stimulus
GO:0042222	interleukin-1 biosynthetic process
GO:0042223	interleukin-3 biosynthetic process
GO:0042225	interleukin-5 biosynthetic process
GO:0042226	interleukin-6 biosynthetic process
GO:0042227	interleukin-7 biosynthetic process
GO:0042228	interleukin-8 biosynthetic process
GO:0042229	interleukin-9 biosynthetic process
GO:0042230	interleukin-11 biosynthetic process
GO:0042231	interleukin-13 biosynthetic process
GO:0042232	interleukin-14 biosynthetic process
GO:0042233	interleukin-15 biosynthetic process
GO:0042234	interleukin-16 biosynthetic process
GO:0042235	interleukin-17 biosynthetic process
GO:0042236	interleukin-19 biosynthetic process
GO:0042237	interleukin-20 biosynthetic process
GO:0042238	interleukin-21 biosynthetic process
GO:0042239	interleukin-22 biosynthetic process
GO:0042240	interleukin-23 biosynthetic process
GO:0042241	interleukin-18 biosynthetic process
GO:0042243	asexual spore wall assembly
GO:0042244	spore wall assembly
GO:0042245	RNA repair
GO:0042246	tissue regeneration
GO:0042247	establishment of planar polarity of follicular epithelium
GO:0042248	maintenance of polarity of follicular epithelium
GO:0042249	establishment of planar polarity of embryonic epithelium
GO:0042250	maintenance of polarity of embryonic epithelium
GO:0042251	maintenance of polarity of larval imaginal disc epithelium
GO:0042252	establishment of planar polarity of larval imaginal disc epithelium
GO:0042253	granulocyte macrophage colony-stimulating factor biosynthetic process
GO:0042254	ribosome biogenesis
GO:0042255	ribosome assembly
GO:0042256	mature ribosome assembly
GO:0042258	molybdenum incorporation via L-serinyl molybdopterin guanine dinucleotide
GO:0042259	peptidyl-L-beta-methylthioasparagine biosynthetic process from peptidyl-asparagine
GO:0042262	DNA protection
GO:0042264	peptidyl-aspartic acid hydroxylation
GO:0042265	peptidyl-asparagine hydroxylation
GO:0042267	natural killer cell mediated cytotoxicity
GO:0042268	regulation of cytolysis
GO:0042269	regulation of natural killer cell mediated cytotoxicity
GO:0042270	protection from natural killer cell mediated cytotoxicity
GO:0042271	susceptibility to natural killer cell mediated cytotoxicity
GO:0042273	ribosomal large subunit biogenesis
GO:0042274	ribosomal small subunit biogenesis
GO:0042275	error-free postreplication DNA repair
GO:0042276	error-prone translesion synthesis
GO:0042278	purine nucleoside metabolic process
GO:0042297	vocal learning
GO:0042303	molting cycle
GO:0042304	regulation of fatty acid biosynthetic process
GO:0042305	specification of segmental identity, mandibular segment
GO:0042306	regulation of protein import into nucleus
GO:0042307	positive regulation of protein import into nucleus
GO:0042308	negative regulation of protein import into nucleus
GO:0042309	homoiothermy
GO:0042310	vasoconstriction
GO:0042311	vasodilation
GO:0042312	regulation of vasodilation
GO:0042313	protein kinase C deactivation
GO:0042316	penicillin metabolic process
GO:0042317	penicillin catabolic process
GO:0042318	penicillin biosynthetic process
GO:0042320	regulation of circadian sleep/wake cycle, REM sleep
GO:0042321	negative regulation of circadian sleep/wake cycle, sleep
GO:0042322	negative regulation of circadian sleep/wake cycle, REM sleep
GO:0042323	negative regulation of circadian sleep/wake cycle, non-REM sleep
GO:0042325	regulation of phosphorylation
GO:0042326	negative regulation of phosphorylation
GO:0042327	positive regulation of phosphorylation
GO:0042330	taxis
GO:0042331	phototaxis
GO:0042332	gravitaxis
GO:0042333	chemotaxis to oxidizable substrate
GO:0042334	taxis to electron acceptor
GO:0042335	cuticle development
GO:0042337	cuticle development involved in chitin-based cuticle molting cycle
GO:0042338	cuticle development involved in collagen and cuticulin-based cuticle molting cycle
GO:0042339	keratan sulfate metabolic process
GO:0042340	keratan sulfate catabolic process
GO:0042341	cyanogenic glycoside metabolic process
GO:0042342	cyanogenic glycoside catabolic process
GO:0042343	indole glucosinolate metabolic process
GO:0042344	indole glucosinolate catabolic process
GO:0042345	regulation of NF-kappaB import into nucleus
GO:0042346	positive regulation of NF-kappaB import into nucleus
GO:0042347	negative regulation of NF-kappaB import into nucleus
GO:0042348	NF-kappaB import into nucleus
GO:0042350	GDP-L-fucose biosynthetic process
GO:0042351	'de novo' GDP-L-fucose biosynthetic process
GO:0042352	GDP-L-fucose salvage
GO:0042353	fucose biosynthetic process
GO:0042354	L-fucose metabolic process
GO:0042355	L-fucose catabolic process
GO:0042357	thiamine diphosphate metabolic process
GO:0042358	thiamine diphosphate catabolic process
GO:0042359	vitamin D metabolic process
GO:0042360	vitamin E metabolic process
GO:0042361	menaquinone catabolic process
GO:0042362	fat-soluble vitamin biosynthetic process
GO:0042363	fat-soluble vitamin catabolic process
GO:0042364	water-soluble vitamin biosynthetic process
GO:0042365	water-soluble vitamin catabolic process
GO:0042366	cobalamin catabolic process
GO:0042367	biotin catabolic process
GO:0042368	vitamin D biosynthetic process
GO:0042369	vitamin D catabolic process
GO:0042370	thiamine diphosphate dephosphorylation
GO:0042371	vitamin K biosynthetic process
GO:0042372	phylloquinone biosynthetic process
GO:0042373	vitamin K metabolic process
GO:0042374	phylloquinone metabolic process
GO:0042375	quinone cofactor metabolic process
GO:0042376	phylloquinone catabolic process
GO:0042377	vitamin K catabolic process
GO:0042378	quinone cofactor catabolic process
GO:0042381	hemolymph coagulation
GO:0042384	cilium assembly
GO:0042386	hemocyte differentiation
GO:0042387	plasmatocyte differentiation
GO:0042388	gibberellic acid mediated signaling pathway, G-alpha-dependent
GO:0042390	gibberellic acid mediated signaling pathway, G-alpha-independent
GO:0042391	regulation of membrane potential
GO:0042395	ecdysis, collagen and cuticulin-based cuticle
GO:0042396	phosphagen biosynthetic process
GO:0042397	phosphagen catabolic process
GO:0042398	cellular modified amino acid biosynthetic process
GO:0042399	ectoine metabolic process
GO:0042400	ectoine catabolic process
GO:0042401	cellular biogenic amine biosynthetic process
GO:0042402	cellular biogenic amine catabolic process
GO:0042403	thyroid hormone metabolic process
GO:0042404	thyroid hormone catabolic process
GO:0042407	cristae formation
GO:0042412	taurine biosynthetic process
GO:0042413	carnitine catabolic process
GO:0042414	epinephrine metabolic process
GO:0042415	norepinephrine metabolic process
GO:0042416	dopamine biosynthetic process
GO:0042417	dopamine metabolic process
GO:0042418	epinephrine biosynthetic process
GO:0042419	epinephrine catabolic process
GO:0042420	dopamine catabolic process
GO:0042421	norepinephrine biosynthetic process
GO:0042422	norepinephrine catabolic process
GO:0042423	catecholamine biosynthetic process
GO:0042424	catecholamine catabolic process
GO:0042425	choline biosynthetic process
GO:0042426	choline catabolic process
GO:0042427	serotonin biosynthetic process
GO:0042428	serotonin metabolic process
GO:0042429	serotonin catabolic process
GO:0042430	indole-containing compound metabolic process
GO:0042431	indole metabolic process
GO:0042432	indole biosynthetic process
GO:0042433	indole catabolic process
GO:0042435	indole-containing compound biosynthetic process
GO:0042436	indole-containing compound catabolic process
GO:0042437	indoleacetic acid catabolic process
GO:0042438	melanin biosynthetic process
GO:0042439	ethanolamine-containing compound metabolic process
GO:0042440	pigment metabolic process
GO:0042441	eye pigment metabolic process
GO:0042442	melatonin catabolic process
GO:0042443	phenylethylamine metabolic process
GO:0042444	phenylethylamine biosynthetic process
GO:0042445	hormone metabolic process
GO:0042446	hormone biosynthetic process
GO:0042447	hormone catabolic process
GO:0042448	progesterone metabolic process
GO:0042450	arginine biosynthetic process via ornithine
GO:0042451	purine nucleoside biosynthetic process
GO:0042452	deoxyguanosine biosynthetic process
GO:0042453	deoxyguanosine metabolic process
GO:0042454	ribonucleoside catabolic process
GO:0042455	ribonucleoside biosynthetic process
GO:0042457	ethylene catabolic process
GO:0042458	nopaline catabolic process to proline
GO:0042459	octopine catabolic process to proline
GO:0042461	photoreceptor cell development
GO:0042462	eye photoreceptor cell development
GO:0042463	ocellus photoreceptor cell development
GO:0042464	dosage compensation by hypoactivation of X chromosome
GO:0042465	kinesis
GO:0042466	chemokinesis
GO:0042467	orthokinesis
GO:0042468	klinokinesis
GO:0042471	ear morphogenesis
GO:0042472	inner ear morphogenesis
GO:0042473	outer ear morphogenesis
GO:0042474	middle ear morphogenesis
GO:0042475	odontogenesis of dentin-containing tooth
GO:0042476	odontogenesis
GO:0042478	regulation of eye photoreceptor cell development
GO:0042479	positive regulation of eye photoreceptor cell development
GO:0042480	negative regulation of eye photoreceptor cell development
GO:0042481	regulation of odontogenesis
GO:0042482	positive regulation of odontogenesis
GO:0042483	negative regulation of odontogenesis
GO:0042487	regulation of odontogenesis of dentin-containing tooth
GO:0042488	positive regulation of odontogenesis of dentin-containing tooth
GO:0042489	negative regulation of odontogenesis of dentin-containing tooth
GO:0042490	mechanoreceptor differentiation
GO:0042491	auditory receptor cell differentiation
GO:0042492	gamma-delta T cell differentiation
GO:0042493	response to drug
GO:0042494	detection of bacterial lipoprotein
GO:0042495	detection of triacyl bacterial lipopeptide
GO:0042496	detection of diacyl bacterial lipopeptide
GO:0042501	serine phosphorylation of STAT protein
GO:0042502	tyrosine phosphorylation of Stat2 protein
GO:0042503	tyrosine phosphorylation of Stat3 protein
GO:0042504	tyrosine phosphorylation of Stat4 protein
GO:0042505	tyrosine phosphorylation of Stat6 protein
GO:0042506	tyrosine phosphorylation of Stat5 protein
GO:0042507	tyrosine phosphorylation of Stat7 protein
GO:0042508	tyrosine phosphorylation of Stat1 protein
GO:0042509	regulation of tyrosine phosphorylation of STAT protein
GO:0042510	regulation of tyrosine phosphorylation of Stat1 protein
GO:0042511	positive regulation of tyrosine phosphorylation of Stat1 protein
GO:0042512	negative regulation of tyrosine phosphorylation of Stat1 protein
GO:0042513	regulation of tyrosine phosphorylation of Stat2 protein
GO:0042514	negative regulation of tyrosine phosphorylation of Stat2 protein
GO:0042515	positive regulation of tyrosine phosphorylation of Stat2 protein
GO:0042516	regulation of tyrosine phosphorylation of Stat3 protein
GO:0042517	positive regulation of tyrosine phosphorylation of Stat3 protein
GO:0042518	negative regulation of tyrosine phosphorylation of Stat3 protein
GO:0042519	regulation of tyrosine phosphorylation of Stat4 protein
GO:0042520	positive regulation of tyrosine phosphorylation of Stat4 protein
GO:0042521	negative regulation of tyrosine phosphorylation of Stat4 protein
GO:0042522	regulation of tyrosine phosphorylation of Stat5 protein
GO:0042523	positive regulation of tyrosine phosphorylation of Stat5 protein
GO:0042524	negative regulation of tyrosine phosphorylation of Stat5 protein
GO:0042525	regulation of tyrosine phosphorylation of Stat6 protein
GO:0042526	positive regulation of tyrosine phosphorylation of Stat6 protein
GO:0042527	negative regulation of tyrosine phosphorylation of Stat6 protein
GO:0042528	regulation of tyrosine phosphorylation of Stat7 protein
GO:0042529	positive regulation of tyrosine phosphorylation of Stat7 protein
GO:0042530	negative regulation of tyrosine phosphorylation of Stat7 protein
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein
GO:0042532	negative regulation of tyrosine phosphorylation of STAT protein
GO:0042533	tumor necrosis factor biosynthetic process
GO:0042534	regulation of tumor necrosis factor biosynthetic process
GO:0042535	positive regulation of tumor necrosis factor biosynthetic process
GO:0042536	negative regulation of tumor necrosis factor biosynthetic process
GO:0042537	benzene-containing compound metabolic process
GO:0042538	hyperosmotic salinity response
GO:0042539	hypotonic salinity response
GO:0042540	hemoglobin catabolic process
GO:0042541	hemoglobin biosynthetic process
GO:0042542	response to hydrogen peroxide
GO:0042543	protein N-linked glycosylation via arginine
GO:0042544	melibiose biosynthetic process
GO:0042545	cell wall modification
GO:0042546	cell wall biogenesis
GO:0042547	cell wall modification involved in multidimensional cell growth
GO:0042548	regulation of photosynthesis, light reaction
GO:0042549	photosystem II stabilization
GO:0042550	photosystem I stabilization
GO:0042551	neuron maturation
GO:0042552	myelination
GO:0042554	superoxide anion generation
GO:0042558	pteridine-containing compound metabolic process
GO:0042559	pteridine-containing compound biosynthetic process
GO:0042560	pteridine-containing compound catabolic process
GO:0042572	retinol metabolic process
GO:0042573	retinoic acid metabolic process
GO:0042574	retinal metabolic process
GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I
GO:0042592	homeostatic process
GO:0042593	glucose homeostasis
GO:0042594	response to starvation
GO:0042595	behavioral response to starvation
GO:0042596	fear response
GO:0042616	paclitaxel metabolic process
GO:0042617	paclitaxel biosynthetic process
GO:0042618	poly-hydroxybutyrate metabolic process
GO:0042619	poly-hydroxybutyrate biosynthetic process
GO:0042620	poly(3-hydroxyalkanoate) metabolic process
GO:0042621	poly(3-hydroxyalkanoate) biosynthetic process
GO:0042628	mating plug formation
GO:0042630	behavioral response to water deprivation
GO:0042631	cellular response to water deprivation
GO:0042632	cholesterol homeostasis
GO:0042633	hair cycle
GO:0042634	regulation of hair cycle
GO:0042635	positive regulation of hair cycle
GO:0042636	negative regulation of hair cycle
GO:0042637	catagen
GO:0042638	exogen
GO:0042639	telogen
GO:0042640	anagen
GO:0042655	activation of JNKKK activity
GO:0042659	regulation of cell fate specification
GO:0042660	positive regulation of cell fate specification
GO:0042661	regulation of mesodermal cell fate specification
GO:0042662	negative regulation of mesodermal cell fate specification
GO:0042663	regulation of endodermal cell fate specification
GO:0042664	negative regulation of endodermal cell fate specification
GO:0042665	regulation of ectodermal cell fate specification
GO:0042666	negative regulation of ectodermal cell fate specification
GO:0042667	auditory receptor cell fate specification
GO:0042668	auditory receptor cell fate determination
GO:0042669	regulation of auditory receptor cell fate specification
GO:0042670	retinal cone cell differentiation
GO:0042671	retinal cone cell fate determination
GO:0042672	retinal cone cell fate specification
GO:0042673	regulation of retinal cone cell fate specification
GO:0042675	compound eye cone cell differentiation
GO:0042676	compound eye cone cell fate commitment
GO:0042679	compound eye cone cell fate specification
GO:0042680	compound eye cone cell fate determination
GO:0042682	regulation of compound eye cone cell fate specification
GO:0042683	negative regulation of compound eye cone cell fate specification
GO:0042684	cardioblast cell fate commitment
