HP:0000002	Abnormality of body height
HP:0009155	Cone-shaped epiphysis of the proximal phalanx of the 5th finger
HP:0009157	Ivory epiphysis of the proximal phalanx of the 5th finger
HP:0009158	Enlarged epiphysis of the proximal phalanx of the 5th finger
HP:0009159	Small epiphysis of the proximal phalanx of the 5th finger
HP:0009160	Absent epiphysis of the proximal phalanx of the 5th finger
HP:0009161	Aplasia/Hypoplasia of the middle phalanx of the 5th finger
HP:0009162	Absent middle phalanx of 5th finger
HP:0009164	Abnormal calcification of the carpal bones
HP:0009165	Stippling of the epiphysis of the distal phalanx of the 5th finger
HP:0009166	Fragmentation of the epiphysis of the distal phalanx of the 5th finger
HP:0009167	Irregular epiphysis of the distal phalanx of the 5th finger
HP:0009168	Bullet-shaped middle phalanx of the 5th finger
HP:0009169	Broad middle phalanx of the 5th finger
HP:0009170	Osteolytic defects of the middle phalanx of the 5th finger
HP:0009171	Triangular epiphyses of the metacarpals
HP:0009172	Abnormality of the phalanges of the 4th finger
HP:0009173	Curved middle phalanx of the 5th finger
HP:0009174	Abnormality of the epiphyses of the 4th finger
HP:0009175	Patchy sclerosis of the middle phalanx of the 5th finger
HP:0009177	Proximal/middle symphalangism of 5th finger
HP:0009178	Symphalangism of middle phalanx of 5th finger
HP:0009179	Deviation of the 5th finger
HP:0009180	Ulnar deviation of the 5th finger
HP:0009182	Triangular shaped middle phalanx of the 5th finger
HP:0009183	Joint contractures of the 5th finger
HP:0009184	Contracture of the distal interphalangeal joint of the 5th finger
HP:0009185	Contracture of the proximal interphalangeal joint of the 5th finger
HP:0009186	Contracture of the metacarpophalangeal joint of the 5th finger
HP:0009187	Bracket epiphysis of the distal phalanx of the 5th finger
HP:0009188	Pseudoepiphysis of the distal phalanx of the 5th finger
HP:0009189	Fragmentation of the metacarpal epiphyses
HP:0009190	Irregular epiphyses of the metacarpals
HP:0009191	Ivory epiphyses of the metacarpals
HP:0009192	Aplasia/Hypoplasia of the proximal phalanx of the 5th finger
HP:0009193	Pseudoepiphyses of the metacarpals
HP:0009194	Small epiphyses of the metacarpals
HP:0009195	Epiphyseal stippling of the metacarpals
HP:0009196	Absent metacarpal epiphyses
HP:0009197	Bracket epiphysis of the proximal phalanx of the 5th finger
HP:0009198	Abnormality of the epiphysis of the distal phalanx of the 5th finger
HP:0009199	Irregular epiphysis of the proximal phalanx of the 5th finger
HP:0009200	Pseudoepiphysis of the proximal phalanx of the 5th finger
HP:0009201	Stippling of the epiphysis of the proximal phalanx of the 5th finger
HP:0009202	Fragmentation of the epiphysis of the proximal phalanx of the 5th finger
HP:0009203	Absent epiphysis of the middle phalanx of the 5th finger
HP:0009204	Bracket epiphysis of the middle phalanx of the 5th finger
HP:0009205	Cone-shaped epiphysis of the middle phalanx of the 5th finger
HP:0009206	Enlarged epiphysis of the middle phalanx of the 5th finger
HP:0009207	Fragmentation of the epiphysis of the middle phalanx of the 5th finger
HP:0009208	Irregular epiphysis of the middle phalanx of the 5th finger
HP:0009209	Ivory epiphysis of the middle phalanx of the 5th finger
HP:0009210	Pseudoepiphysis of the middle phalanx of the 5th finger
HP:0009211	Small epiphysis of the middle phalanx of the 5th finger
HP:0009212	Stippling of the epiphysis of the middle phalanx of the 5th finger
HP:0009213	Triangular epiphysis of the middle phalanx of the 5th finger
HP:0009214	Absent epiphysis of the middle phalanx of the 4th finger
HP:0009215	Bracket epiphysis of the middle phalanx of the 4th finger
HP:0009216	Cone-shaped epiphysis of the middle phalanx of the 4th finger
HP:0009217	Enlarged epiphysis of the middle phalanx of the 4th finger
HP:0009218	Fragmentation of the epiphysis of the middle phalanx of the 4th finger
HP:0009219	Irregular epiphysis of the middle phalanx of the 4th finger
HP:0009220	Ivory epiphysis of the middle phalanx of the 4th finger
HP:0009221	Pseudoepiphysis of the middle phalanx of the 4th finger
HP:0009222	Small epiphysis of the middle phalanx of the 4th finger
HP:0009223	Stippling of the epiphysis of the middle phalanx of the 4th finger
HP:0009224	Triangular epiphysis of the middle phalanx of the 4th finger
HP:0009225	Aplasia of the proximal phalanx of the 5th finger
HP:0009226	Short proximal phalanx of the 5th finger
HP:0009227	Broad proximal phalanx of the 5th finger
HP:0009228	Bullet-shaped proximal phalanx of the 5th finger
HP:0009229	Curved proximal phalanx of the 5th finger
HP:0009230	Osteolytic defects of the proximal phalanx of the 5th finger
HP:0009231	Patchy sclerosis of the proximal phalanx of the 5th finger
HP:0009232	Symphalangism affecting the proximal phalanx of the 5th finger
HP:0009233	Triangular shaped proximal phalanx of the 5th finger
HP:0009234	Symphalangism of the proximal phalanx of the 5th finger with the 5th metatcarpal
HP:0009236	Rhomboid or triangular shaped 5th finger proximal phalanx
HP:0009237	Short 5th finger
HP:0009238	Aplasia of the 5th finger
HP:0009239	Aplasia/Hypoplasia of the distal phalanx of the 5th finger
HP:0009240	Broad distal phalanx of the 5th finger
HP:0009241	Bullet-shaped distal phalanx of the 5th finger
HP:0009242	Osteolytic defects of the distal phalanx of the 5th finger
HP:0009243	Patchy sclerosis of the distal phalanx of the 5th finger
HP:0009244	Distal/middle symphalangism of 5th finger
HP:0009245	Triangular shaped distal phalanx of the 5th finger
HP:0009246	Aplasia of the distal phalanx of the 5th finger
HP:0009247	Abnormality of the epiphysis of the middle phalanx of the 4th finger
HP:0009248	Abnormality of the epiphysis of the proximal phalanx of the 4th finger
HP:0009249	Abnormality of the epiphysis of the distal phalanx of the 4th finger
HP:0009250	Absent epiphysis of the distal phalanx of the 4th finger
HP:0009251	Bracket epiphysis of the distal phalanx of the 4th finger
HP:0009252	Cone-shaped epiphysis of the distal phalanx of the 4th finger
HP:0009253	Enlarged epiphysis of the distal phalanx of the 4th finger
HP:0009254	Fragmentation of the epiphysis of the distal phalanx of the 4th finger
HP:0009255	Irregular epiphysis of the distal phalanx of the 4th finger
HP:0009256	Ivory epiphysis of the distal phalanx of the 4th finger
HP:0009257	Pseudoepiphysis of the distal phalanx of the 4th finger
HP:0009258	Small epiphysis of the distal phalanx of the 4th finger
HP:0009259	Stippling of the epiphysis of the distal phalanx of the 4th finger
HP:0009260	Triangular epiphysis of the distal phalanx of the 4th finger
HP:0009261	Absent epiphysis of the proximal phalanx of the 4th finger
HP:0009262	Bracket epiphysis of the proximal phalanx of the 4th finger
HP:0009263	Cone-shaped epiphysis of the proximal phalanx of the 4th finger
HP:0009264	Enlarged epiphysis of the proximal phalanx of the 4th finger
HP:0009265	Fragmentation of the epiphysis of the proximal phalanx of the 4th finger
HP:0009266	Irregular epiphysis of the proximal phalanx of the 4th finger
HP:0009267	Ivory epiphysis of the proximal phalanx of the 4th finger
HP:0009268	Pseudoepiphysis of the proximal phalanx of the 4th finger
HP:0009269	Small epiphysis of the proximal phalanx of the 4th finger
HP:0009270	Stippling of the epiphysis of the proximal phalanx of the 4th finger
HP:0009271	Triangular epiphysis of the proximal phalanx of the 4th finger
HP:0009272	Aplasia/Hypoplasia of the 4th finger
HP:0009273	Deviation of the 4th finger
HP:0009274	Joint contractures of the 4th finger
HP:0009275	Contracture of the distal interphalangeal joint of the 4th finger
HP:0009276	Contracture of the proximal interphalangeal joint of the 4th finger
HP:0009277	Contracture of the metacarpophalangeal joint of the 4th finger
HP:0009278	Ulnar deviation of the 4th finger
HP:0009279	Radial deviation of the 4th finger
HP:0009280	Short 4th finger
HP:0009281	Aplasia of the 4th finger
HP:0009282	Abnormality of the distal phalanx of the 4th finger
HP:0009283	Abnormality of the middle phalanx of the 4th finger
HP:0009284	Abnormality of the proximal phalanx of the 4th finger
HP:0009285	Curved phalanges of the 4th finger
HP:0009286	Curved distal phalanx of the 4th finger
HP:0009287	Curved middle phalanx of the 4th finger
HP:0009288	Curved proximal phalanx of the 4th finger
HP:0009289	Aplasia/Hypoplasia of the distal phalanx of the 4th finger
HP:0009290	Short distal phalanx of the 4th finger
HP:0009291	Aplasia of the distal phalanx of the 4th finger
HP:0009292	Broad distal phalanx of the 4th finger
HP:0009293	Broad middle phalanx of the 4th finger
HP:0009294	Absent middle phalanx of 4th finger
HP:0009295	Short middle phalanx of the 4th finger
HP:0009296	Bullet-shaped middle phalanx of the 4th finger
HP:0009297	Osteolytic defects of the middle phalanx of the 4th finger
HP:0009298	Aplasia of the proximal phalanx of the 4th finger
HP:0009299	Aplasia/Hypoplasia of the middle phalanx of the 4th finger
HP:0009300	Aplasia/Hypoplasia of the proximal phalanx of the 4th finger
HP:0009301	Short proximal phalanx of the 4th finger
HP:0009302	Bullet-shaped distal phalanx of the 4th finger
HP:0009303	Osteolytic defects of the distal phalanx of the 4th finger
HP:0009304	Patchy sclerosis of the distal phalanx of the 4th finger
HP:0009305	Distal/middle symphalangism of 4th finger
HP:0009306	Triangular shaped distal phalanx of the 4th finger
HP:0009307	Patchy sclerosis of the middle phalanx of the 4th finger
HP:0009308	Symphalangism of middle phalanx of 4th finger
HP:0009309	Triangular shaped middle phalanx of the 4th finger
HP:0009310	Broad proximal phalanx of the 4th finger
HP:0009311	Bullet-shaped proximal phalanx of the 4th finger
HP:0009312	Osteolytic defects of the proximal phalanx of the 4th finger
HP:0009313	Patchy sclerosis of the proximal phalanx of the 4th finger
HP:0009314	Symphalangism affecting the proximal phalanx of the 4th finger
HP:0009315	Triangular shaped proximal phalanx of the 4th finger
HP:0009316	Abnormality of the phalanges of the 3rd finger
HP:0009317	Deviation of the 3rd finger
HP:0009318	Aplasia/Hypoplasia of the 3rd finger
HP:0009319	Joint contractures of the 3rd finger
HP:0009320	Abnormality of the epiphyses of the 3rd finger
HP:0009321	Absent epiphysis of the middle phalanx of the 3rd finger
HP:0009322	Bracket epiphysis of the middle phalanx of the 3rd finger
HP:0009323	Cone-shaped epiphysis of the middle phalanx of the 3rd finger
HP:0009324	Enlarged epiphysis of the middle phalanx of the 3rd finger
HP:0009325	Fragmentation of the epiphysis of the middle phalanx of the 3rd finger
HP:0009326	Irregular epiphysis of the middle phalanx of the 3rd finger
HP:0009327	Ivory epiphysis of the middle phalanx of the 3rd finger
HP:0009328	Pseudoepiphysis of the middle phalanx of the 3rd finger
HP:0009329	Small epiphysis of the middle phalanx of the 3rd finger
HP:0009330	Stippling of the epiphysis of the middle phalanx of the 3rd finger
HP:0009331	Triangular epiphysis of the middle phalanx of the 3rd finger
HP:0009332	Abnormality of the epiphysis of the distal phalanx of the 3rd finger
HP:0009333	Abnormality of the epiphysis of the proximal phalanx of the 3rd finger
HP:0009334	Abnormality of the epiphysis of the middle phalanx of the 3rd finger
HP:0009335	Absent epiphysis of the distal phalanx of the 3rd finger
HP:0009336	Bracket epiphysis of the distal phalanx of the 3rd finger
HP:0009337	Cone-shaped epiphysis of the distal phalanx of the 3rd finger
HP:0009338	Enlarged epiphysis of the distal phalanx of the 3rd finger
HP:0009339	Fragmentation of the epiphysis of the distal phalanx of the 3rd finger
HP:0009340	Irregular epiphysis of the distal phalanx of the 3rd finger
HP:0009341	Ivory epiphysis of the distal phalanx of the 3rd finger
HP:0009342	Pseudoepiphysis of the distal phalanx of the 3rd finger
HP:0009343	Small epiphysis of the distal phalanx of the 3rd finger
HP:0009344	Stippling of the epiphysis of the distal phalanx of the 3rd finger
HP:0009345	Triangular epiphysis of the distal phalanx of the 3rd finger
HP:0009346	Absent epiphysis of the proximal phalanx of the 3rd finger
HP:0009347	Bracket epiphysis of the proximal phalanx of the 3rd finger
HP:0009348	Cone-shaped epiphysis of the proximal phalanx of the 3rd finger
HP:0009349	Enlarged epiphysis of the proximal phalanx of the 3rd finger
HP:0009350	Fragmentation of the epiphysis of the proximal phalanx of the 3rd finger
HP:0009351	Irregular epiphysis of the proximal phalanx of the 3rd finger
HP:0009352	Ivory epiphysis of the proximal phalanx of the 3rd finger
HP:0009353	Pseudoepiphysis of the proximal phalanx of the 3rd finger
HP:0009354	Small epiphysis of the proximal phalanx of the 3rd finger
HP:0009355	Stippling of the epiphysis of the proximal phalanx of the 3rd finger
HP:0009356	Triangular epiphysis of the proximal phalanx of the 3rd finger
HP:0009357	Abnormality of the distal phalanx of the 3rd finger
HP:0009358	Abnormality of the proximal phalanx of the 3rd finger
HP:0009370	Type A Brachydactyly
HP:0009371	Type A1 Brachydactyly
HP:0009372	Type A2 Brachydactyly
HP:0009373	Type C Brachydactyly
HP:0009374	Broad phalanges of the 5th finger
HP:0009375	Bullet-shaped phalanges of the 5th finger
HP:0009376	Aplasia/Hypoplasia of the phalanges of the 5th finger
HP:0009377	Patchy sclerosis of the phalanges of the 5th finger
HP:0009378	Triangular shaped phalanges of the 5th finger
HP:0009379	Rhomboid or triangular shaped 5th finger distal phalanx
HP:0009380	Aplasia of the fingers
HP:0009381	Short finger
HP:0009382	Absent epiphyses of the 5th finger
HP:0009383	Bracket epiphyses of the 5th finger
HP:0009384	Cone-shaped epiphyses of the 5th finger
HP:0009385	Enlarged epiphyses of the 5th finger
HP:0009386	Fragmentation of the epiphyses of the 5th finger
HP:0009387	Irregular epiphyses of the 5th finger
HP:0009388	Ivory epiphyses of the 5th finger
HP:0009389	Pseudoepiphyses of the 5th finger
HP:0009390	Small epiphyses of the 5th finger
HP:0009391	Stippling of the epiphyses of the 5th finger
HP:0009392	Triangular epiphyses of the 5th finger
HP:0009393	Absent epiphyses of the 4th finger
HP:0009394	Bracket epiphyses of the 4th finger
HP:0009395	Cone-shaped epiphyses of the 4th finger
HP:0009396	Enlarged epiphyses of the 4th finger
HP:0009397	Fragmentation of the epiphyses of the 4th finger
HP:0009398	Irregular epiphyses of the 4th finger
HP:0009399	Ivory epiphyses of the 4th finger
HP:0009400	Pseudoepiphyses of the 4th finger
HP:0009401	Small epiphyses of the 4th finger
HP:0009402	Stippling of the epiphyses of the 4th finger
HP:0009403	Triangular epiphyses of the 4th finger
HP:0009404	Broad phalanges of the 4th finger
HP:0009405	Bullet-shaped phalanges of the 4th finger
HP:0009406	Patchy sclerosis of the phalanges of the 4th finger
HP:0009407	Triangular shaped phalanges of the 4th finger
HP:0009408	Aplasia/Hypoplasia of the phalanges of the 4th finger
HP:0009410	Absent epiphyses of the 3rd finger
HP:0009411	Bracket epiphyses of the 3rd finger
HP:0009412	Cone-shaped epiphyses of the 3rd finger
HP:0009413	Enlarged epiphyses of the 3rd finger
HP:0009414	Fragmentation of the epiphyses of the 3rd finger
HP:0009415	Irregular epiphyses of the 3rd finger
HP:0009416	Ivory epiphyses of the 3rd finger
HP:0009417	Pseudoepiphyses of the 3rd finger
HP:0009418	Small epiphyses of the 3rd finger
HP:0009419	Stippling of the epiphyses of the 3rd finger
HP:0009420	Triangular epiphyses of the 3rd finger
HP:0009421	Aplasia/Hypoplasia of the distal phalanx of the 3rd finger
HP:0009422	Broad distal phalanx of the 3rd finger
HP:0009423	Bullet-shaped distal phalanx of the 3rd finger
HP:0009424	Osteolytic defects of the distal phalanx of the 3rd finger
HP:0009425	Patchy sclerosis of the distal phalanx of the 3rd finger
HP:0009426	Distal/middle symphalangism of 3rd finger
HP:0009427	Triangular shaped distal phalanx of the 3rd finger
HP:0009428	Curved distal phalanx of the 3rd finger
HP:0009429	Aplasia of the distal phalanx of the 3rd finger
HP:0009430	Broad middle phalanx of the 3rd finger
HP:0009431	Bullet-shaped middle phalanx of the 3rd finger
HP:0009432	Curved middle phalanx of the 3rd finger
HP:0009433	Osteolytic defects of the middle phalanx of the 3rd finger
HP:0009434	Patchy sclerosis of the middle phalanx of the 3rd finger
HP:0009435	Symphalangism of middle phalanx of 3rd finger
HP:0009436	Triangular shaped middle phalanx of the 3rd finger
HP:0009437	Aplasia/Hypoplasia of the middle phalanx of the 3rd finger
HP:0009438	Absent middle phalanx of 3rd finger
HP:0009439	Short middle phalanx of the 3rd finger
HP:0009440	Broad phalanges of the 3rd finger
HP:0009441	Bullet-shaped phalanges of the 3rd finger
HP:0009442	Curved phalanges of the 3rd finger
HP:0009443	Osteolytic defects of the phalanges of the 3rd finger
HP:0009444	Patchy sclerosis of the phalanges of the 3rd finger
HP:0009445	Symphalangism of the 3rd finger
HP:0009446	Triangular shaped phalanges of the 3rd finger
HP:0009447	Aplasia/Hypoplasia of the phalanges of the 3rd finger
HP:0009450	Broad proximal phalanx of the 3rd finger
HP:0009451	Bullet-shaped proximal phalanx of the 3rd finger
HP:0009452	Curved proximal phalanx of the 3rd finger
HP:0009453	Osteolytic defects of the proximal phalanx of the 3rd finger
HP:0009454	Patchy sclerosis of the proximal phalanx of the 3rd finger
HP:0009455	Symphalangism affecting the proximal phalanx of the 3rd finger
HP:0009456	Triangular shaped proximal phalanx of the 3rd finger
HP:0009457	Aplasia/Hypoplasia of the proximal phalanx of the 3rd finger
HP:0009458	Aplasia of the proximal phalanx of the 3rd finger
HP:0009459	Short proximal phalanx of the 3rd finger
HP:0009460	Aplasia of the 3rd finger
HP:0009461	Short 3rd finger
HP:0009462	Radial deviation of the 3rd finger
HP:0009463	Ulnar deviation of the 3rd finger
HP:0009464	Ulnar deviation of the 2nd finger
HP:0009465	Ulnar deviation of finger
HP:0009466	Radial deviation of finger
HP:0009467	Radial deviation of the 2nd finger
HP:0009468	Deviation of the 2nd finger
HP:0009469	Contracture of the distal interphalangeal joint of the 3rd finger
HP:0009470	Contracture of the metacarpophalangeal joint of the 3rd finger
HP:0009471	Contracture of the proximal interphalangeal joint of the 3rd finger
HP:0009473	Joint contracture of the hand
HP:0009477	Proximal/middle symphalangism of 4th finger
HP:0009478	Symphalangism of the proximal phalanx of the 4th finger with the 4th metatcarpal
HP:0009482	Proximal/middle symphalangism of 3rd finger
HP:0009483	Symphalangism of the proximal phalanx of the 3rd finger with the 3rd metatcarpal
HP:0009484	Deviation of the hand or of fingers of the hand
HP:0009485	Radial deviation of the hand or of fingers of the hand
HP:0009486	Radial deviation of the hand
HP:0009487	Ulnar deviation of the hand
HP:0009488	Absent epiphyses of the 2nd finger
HP:0009489	Bracket epiphyses of the 2nd finger
HP:0009490	Cone-shaped epiphyses of the 2nd finger
HP:0009491	Enlarged epiphyses of the 2nd finger
HP:0009492	Fragmentation of the epiphyses of the 2nd finger
HP:0009493	Irregular epiphyses of the 2nd finger
HP:0009494	Ivory epiphyses of the 2nd finger
HP:0009495	Pseudoepiphyses of the 2nd finger
HP:0009496	Small epiphyses of the 2nd finger
HP:0009497	Stippling of the epiphyses of the 2nd finger
HP:0009498	Triangular epiphyses of the 2nd finger
HP:0009499	Abnormality of the epiphysis of the distal phalanx of the 2nd finger
HP:0009500	Abnormality of the epiphysis of the middle phalanx of the 2nd finger
HP:0009501	Abnormality of the epiphysis of the proximal phalanx of the 2nd finger
HP:0009502	Absent epiphysis of the distal phalanx of the 2nd finger
HP:0009503	Bracket epiphysis of the distal phalanx of the 2nd finger
HP:0009504	Cone-shaped epiphysis of the distal phalanx of the 2nd finger
HP:0009505	Enlarged epiphysis of the distal phalanx of the 2nd finger
HP:0009506	Fragmentation of the epiphysis of the distal phalanx of the 2nd finger
HP:0009507	Irregular epiphysis of the distal phalanx of the 2nd finger
HP:0009508	Ivory epiphysis of the distal phalanx of the 2nd finger
HP:0009509	Pseudoepiphysis of the distal phalanx of the 2nd finger
HP:0009510	Small epiphysis of the distal phalanx of the 2nd finger
HP:0009511	Stippling of the epiphysis of the distal phalanx of the 2nd finger
HP:0009512	Triangular epiphysis of the distal phalanx of the 2nd finger
HP:0009513	Absent epiphysis of the middle phalanx of the 2nd finger
HP:0009514	Bracket epiphysis of the middle phalanx of the 2nd finger
HP:0009515	Cone-shaped epiphysis of the middle phalanx of the 2nd finger
HP:0009516	Enlarged epiphysis of the middle phalanx of the 2nd finger
HP:0009517	Fragmentation of the epiphysis of the middle phalanx of the 2nd finger
HP:0009518	Irregular epiphysis of the middle phalanx of the 2nd finger
HP:0009519	Ivory epiphysis of the middle phalanx of the 2nd finger
HP:0009520	Pseudoepiphysis of the middle phalanx of the 2nd finger
HP:0009521	Small epiphysis of the middle phalanx of the 2nd finger
HP:0009522	Stippling of the epiphysis of the middle phalanx of the 2nd finger
HP:0009523	Triangular epiphysis of the middle phalanx of the 2nd finger
HP:0009524	Absent epiphysis of the proximal phalanx of the 2nd finger
HP:0009525	Bracket epiphysis of the proximal phalanx of the 2nd finger
HP:0009526	Cone-shaped epiphysis of the proximal phalanx of the 2nd finger
HP:0009527	Enlarged epiphysis of the proximal phalanx of the 2nd finger
HP:0009528	Fragmentation of the epiphysis of the proximal phalanx of the 2nd finger
HP:0009529	Irregular epiphysis of the proximal phalanx of the 2nd finger
HP:0009530	Ivory epiphysis of the proximal phalanx of the 2nd finger
HP:0009531	Pseudoepiphysis of the proximal phalanx of the 2nd finger
HP:0009532	Small epiphysis of the proximal phalanx of the 2nd finger
HP:0009533	Stippling of the epiphysis of the proximal phalanx of the 2nd finger
HP:0009534	Triangular epiphysis of the proximal phalanx of the 2nd finger
HP:0009535	Aplasia of the 2nd finger
HP:0009536	Short 2nd finger
HP:0009537	Flexion contracture of the 2nd finger
HP:0009538	Contracture of the distal interphalangeal joint of the 2nd finger
HP:0009539	Contracture of the metacarpophalangeal joint of the 2nd finger
HP:0009540	Contracture of the proximal interphalangeal joint of the 2nd finger
HP:0009541	Abnormality of the phalanges of the 2nd finger
HP:0009542	Abnormality of the distal phalanx of the 2nd finger
HP:0009543	Abnormality of the middle phalanx of the 2nd finger
HP:0009544	Abnormality of the proximal phalanx of the 2nd finger
HP:0009545	Symphalangism of the 2nd finger
HP:0009546	Triangular shaped phalanges of the 2nd finger
HP:0009547	Broad phalanges of the 2nd finger
HP:0009548	Bullet-shaped phalanges of the 2nd finger
HP:0009549	Curved phalanges of the 2nd finger
HP:0009550	Osteolytic defects of the phalanges of the 2nd finger
HP:0009551	Patchy sclerosis of the phalanges of the 2nd finger
HP:0009552	Aplasia/Hypoplasia of the phalanges of the 2nd finger
HP:0009553	Abnormality of the hairline
HP:0009554	Projection of scalp hair onto lateral cheek
HP:0009555	Hypoplasia of the pharynx
HP:0009556	Aplasia of the tibia
HP:0009557	Aplasia/Hypoplasia of the distal phalanx of the 2nd finger
HP:0009558	Broad distal phalanx of the 2nd finger
HP:0009559	Bullet-shaped distal phalanx of the 2nd finger
HP:0009560	Curved distal phalanx of the 2nd finger
HP:0009561	Osteolytic defects of the distal phalanx of the 2nd finger
HP:0009562	Patchy sclerosis of the distal phalanx of the 2nd finger
HP:0009563	Distal/middle symphalangism of 2nd finger
HP:0009564	Triangular shaped distal phalanx of the 2nd finger
HP:0009565	Aplasia of the distal phalanx of the 2nd finger
HP:0009566	Short distal phalanx of the 2nd finger
HP:0009568	Aplasia/Hypoplasia of the middle phalanx of the 2nd finger
HP:0009569	Broad middle phalanx of the 2nd finger
HP:0009570	Bullet-shaped middle phalanx of the 2nd finger
HP:0009571	Curved middle phalanx of the 2nd finger
HP:0009572	Osteolytic defects of the middle phalanx of the 2nd finger
HP:0009573	Patchy sclerosis of the middle phalanx of the 2nd finger
HP:0009574	Symphalangism of middle phalanx of 2nd finger
HP:0009575	Triangular shaped middle phalanx of the 2nd finger
HP:0009576	Absent middle phalanx of 2nd finger
HP:0009577	Short middle phalanx of the 2nd finger
HP:0009579	Proximal/middle symphalangism of the 2nd finger
HP:0009580	Aplasia/Hypoplasia of the proximal phalanx of the 2nd finger
HP:0009581	Broad proximal phalanx of the 2nd finger
HP:0009582	Bullet-shaped proximal phalanx of the 2nd finger
HP:0009583	Curved proximal phalanx of the 2nd finger
HP:0009584	Osteolytic defects of the proximal phalanx of the 2nd finger
HP:0009585	Patchy sclerosis of the proximal phalanx of the 2nd finger
HP:0009586	Symphalangism affecting the proximal phalanx of the 2nd finger
HP:0009587	Triangular shaped proximal phalanx of the 2nd finger
HP:0009588	Vestibular Schwannoma
HP:0009589	Bilateral vestibular Schwannoma
HP:0009590	Unilateral vestibular Schwannoma
HP:0009591	Abnormality of the vestibulocochlear nerve
HP:0009592	Astrocytoma
HP:0009593	Peripheral Schwannoma
HP:0009594	Retinal hamartoma
HP:0009595	Occasional neurofibromas
HP:0009596	Aplasia of the proximal phalanx of the 2nd finger
HP:0009597	Short proximal phalanx of the 2nd finger
HP:0009598	Symphalangism of the proximal phalanx of the 2nd finger with the 2nd metatcarpal
HP:0009599	Abnormality of the epiphyses of the thumb
HP:0009600	Flexion contracture of thumb
HP:0009601	Aplasia/Hypoplasia of the thumb
HP:0009602	Abnormality of the phalanges of the thumb
HP:0009603	Deviation/Displacement of the thumb
HP:0009606	Complete duplication of distal phalanx of the thumb
HP:0009608	Complete duplication of proximal phalanx of the thumb
HP:0009609	Duplication of the 1st metacarpal
HP:0009611	Bifid distal phalanx of the thumb
HP:0009612	Duplication of the distal phalanx of the thumb
HP:0009613	Duplication of the proximal phalanx of the thumb
HP:0009614	Bifid proximal phalanx of the thumb
HP:0009615	Complete duplication of the first metacarpal
HP:0009616	Bifid first metacarpal
HP:0009617	Abnormality of the distal phalanx of the thumb
HP:0009618	Abnormality of the proximal phalanx of the thumb
HP:0009619	Accessory phalanx of the thumb
HP:0009622	Distally placed thumb
HP:0009623	Proximal placement of thumb
HP:0009624	Contractures of the carpometacarpal joint of the thumb
HP:0009625	Contractures of the metacarpophalangeal joint of the thumb
HP:0009626	Contractures of the interphalangeal joint of the thumb
HP:0009629	Aplasia/Hypoplasia of the proximal phalanx of the thumb
HP:0009630	Broad proximal phalanx of the thumb
HP:0009631	Bullet-shaped proximal phalanx of the thumb
HP:0009632	Curved proximal phalanx of the thumb
HP:0009633	Osteolytic defects of the proximal phalanx of the thumb
HP:0009634	Patchy sclerosis of the proximal phalanx of the thumb
HP:0009635	Symphalangism of proximal phalanx of  thumb
HP:0009636	Triangular shaped proximal phalanx of the thumb
HP:0009637	Absent proximal phalanx of thumb
HP:0009638	Short proximal phalanx of thumb
HP:0009640	Symphalangism of the proximal phalanx of the thumb with the 1st metatcarpal
HP:0009641	Aplasia/Hypoplasia of the distal phalanx of the thumb
HP:0009642	Broad distal phalanx of the thumb
HP:0009643	Bullet-shaped distal phalanx of the thumb
HP:0009644	Curved distal phalanx of the thumb
HP:0009645	Osteolytic defects of the distal phalanx of the thumb
HP:0009646	Patchy sclerosis of the distal phalanx of the thumb
HP:0009647	Proximal/distal symphalangism of thumb
HP:0009648	Triangular shaped distal phalanx of the thumb
HP:0009649	Aplasia of the distal phalanx of the thumb
HP:0009650	Short distal phalanx of the thumb
HP:0009652	Bullet-shaped phalanges of the thumb
HP:0009653	Curved phalanges of the thumb
HP:0009654	Osteolytic defects of the phalanges of the thumb
HP:0009655	Patchy sclerosis of the phalanges of the thumb
HP:0009656	Symphalangism of the thumb
HP:0009657	Triangular shaped phalanges of the thumb
HP:0009658	Aplasia/Hypoplasia of the phalanges of the thumb
HP:0009659	Partial absence of thumb
HP:0009660	Short phalanx of the thumb
HP:0009662	Abnormality of the epiphysis of the distal phalanx of the thumb
HP:0009663	Abnormality of the epiphysis of the proximal phalanx of the thumb
HP:0009664	Absent epiphysis of the proximal phalanx of the thumb
HP:0009665	Bracket epiphysis of the proximal phalanx of the thumb
HP:0009666	Cone-shaped epiphysis of the proximal phalanx of the thumb
HP:0009667	Enlarged epiphysis of the proximal phalanx of the thumb
HP:0009668	Fragmentation of the epiphysis of the proximal phalanx of the thumb
HP:0009669	Irregular epiphysis of the proximal phalanx of the thumb
HP:0009670	Ivory epiphysis of the proximal phalanx of the thumb
HP:0009671	Pseudoepiphysis of the proximal phalanx of the thumb
HP:0009672	Small epiphysis of the proximal phalanx of the thumb
HP:0009673	Stippling of the epiphysis of the proximal phalanx of the thumb
HP:0009674	Triangular epiphysis of the proximal phalanx of the thumb
HP:0009675	Absent epiphysis of the distal phalanx of the thumb
HP:0009676	Bracket epiphysis of the distal phalanx of the thumb
HP:0009677	Cone-shaped epiphysis of the distal phalanx of the thumb
HP:0009678	Enlarged epiphysis of the distal phalanx of the thumb
