ID-model,GO:0008150,GO:0002376,GO:0006325,GO:0031324,GO:0010605,GO:0051276,GO:0009892,GO:0044267,GO:0044248,GO:0006139,GO:0051252,GO:0009056,GO:0046907,GO:0019538,GO:2001141,GO:0046483,GO:0010628,GO:0006725,GO:0010556,GO:0044260,GO:0051649,GO:0048519,GO:0031326,GO:0006355,GO:0010468,GO:2000112,GO:0044085,GO:0022607,GO:0050877,GO:0009889,GO:0006810,GO:1901360,GO:0048523,GO:0045893,GO:0051254,GO:0045935,GO:0051173,GO:0044765,GO:0010557,GO:0044767,GO:0060255,GO:0044237,GO:0019219,GO:0031328,GO:0051171,GO:0045944,GO:0043170,GO:0080090,GO:0048869,GO:0044238,GO:0071704,GO:0009891,GO:0019222,GO:0009893,GO:0008152,GO:0031323,GO:0048856,GO:0032502,GO:0003008,GO:0010604,GO:0051234,GO:0033554,GO:0016043,GO:0051179,GO:0006996,GO:0071840,GO:0034641,GO:0030154,GO:0051641,GO:0009966,GO:0031325,GO:0006807,GO:0034613,GO:0006357,GO:0023052,GO:0044700,GO:0048583,GO:0044093,GO:0070727,GO:0010646,GO:0048518,GO:0010941,GO:0006950,GO:0048731,GO:0044707,GO:0016044,GO:0007275,GO:0048584,GO:0048522,GO:0007154,GO:0044763,GO:0065009,GO:0050789,GO:0032501,GO:0023051,GO:0009987,GO:0051716,GO:0044699,GO:0061024,GO:0008104,GO:0065007,GO:0051128,GO:0050794,GO:0033036,GO:0050896,GO:0065008,GO:0042221,GO:0032879
125-3,NaN,0.73,0.79,0.73,0.74,0.74,0.71,0.73,0.63,0.77,0.73,0.65,0.78,0.73,0.73,0.75,0.76,0.74,0.72,0.73,0.80,0.57,0.70,0.72,0.71,0.70,0.69,0.69,0.84,0.70,0.77,0.73,0.60,0.79,0.79,0.75,0.75,0.76,0.74,0.66,0.69,0.70,0.65,0.74,0.65,0.77,0.70,0.65,0.62,0.72,0.70,0.73,0.62,0.70,0.69,0.63,0.60,0.60,0.76,0.69,0.73,0.65,0.63,0.71,0.62,0.63,0.73,0.56,0.63,0.47,0.71,0.72,0.55,0.72,0.54,0.54,0.45,0.51,0.55,0.52,0.56,0.51,0.57,0.46,0.59,0.61,0.44,0.46,0.57,0.51,0.57,0.54,0.53,0.58,0.47,0.53,0.61,0.58,0.54,0.58,0.54,0.59,0.53,0.57,0.62,0.47,0.70,0.40
126-1,NaN,0.69,0.54,0.50,0.49,0.54,0.49,0.53,0.50,0.49,0.53,0.50,0.54,0.54,0.53,0.49,0.53,0.49,0.53,0.50,0.53,0.51,0.53,0.54,0.57,0.53,0.53,0.54,0.68,0.53,0.64,0.49,0.49,0.49,0.49,0.49,0.49,0.60,0.49,0.53,0.55,0.51,0.51,0.49,0.51,0.50,0.52,0.49,0.52,0.52,0.52,0.49,0.53,0.52,0.46,0.50,0.51,0.51,0.65,0.52,0.64,0.50,0.57,0.58,0.54,0.60,0.49,0.53,0.50,0.49,0.49,0.49,0.49,0.49,0.60,0.60,0.49,0.49,0.49,0.49,0.49,0.55,0.49,0.55,0.63,0.55,0.55,0.50,0.50,0.59,0.52,0.52,0.50,0.65,0.49,0.44,0.51,0.57,0.54,0.49,0.53,0.49,0.51,0.49,0.56,0.58,0.49,0.49
127-1,NaN,0.74,0.85,0.74,0.72,0.82,0.73,0.85,0.69,0.72,0.75,0.74,0.88,0.79,0.78,0.71,0.75,0.70,0.75,0.82,0.87,0.62,0.76,0.76,0.69,0.75,0.72,0.71,0.78,0.76,0.86,0.70,0.65,0.78,0.78,0.76,0.76,0.79,0.76,0.61,0.72,0.73,0.70,0.76,0.71,0.75,0.80,0.72,0.67,0.79,0.78,0.75,0.67,0.70,0.76,0.72,0.59,0.62,0.75,0.71,0.80,0.70,0.66,0.71,0.68,0.64,0.67,0.62,0.69,0.53,0.72,0.65,0.58,0.72,0.67,0.67,0.54,0.48,0.57,0.56,0.57,0.65,0.63,0.46,0.60,0.54,0.43,0.47,0.57,0.63,0.63,0.61,0.55,0.59,0.53,0.62,0.58,0.58,0.55,0.60,0.54,0.51,0.54,0.59,0.63,0.45,0.63,0.43
127-2,NaN,0.86,0.76,0.83,0.82,0.76,0.81,0.73,0.80,0.78,0.74,0.85,0.77,0.75,0.77,0.77,0.73,0.76,0.76,0.81,0.81,0.70,0.76,0.76,0.71,0.76,0.68,0.66,0.77,0.77,0.77,0.75,0.72,0.75,0.75,0.76,0.76,0.76,0.76,0.62,0.72,0.76,0.72,0.76,0.74,0.75,0.79,0.71,0.68,0.76,0.78,0.76,0.71,0.66,0.77,0.73,0.62,0.64,0.70,0.69,0.73,0.63,0.65,0.67,0.73,0.65,0.72,0.60,0.68,0.52,0.71,0.70,0.57,0.70,0.69,0.70,0.58,0.58,0.56,0.49,0.60,0.65,0.62,0.52,0.59,0.57,0.47,0.53,0.60,0.65,0.66,0.74,0.57,0.58,0.53,0.60,0.66,0.61,0.53,0.58,0.57,0.46,0.54,0.56,0.67,0.48,0.64,0.31
127-3,NaN,0.49,0.48,0.57,0.57,0.48,0.57,0.46,0.56,0.51,0.47,0.55,0.52,0.46,0.48,0.51,0.43,0.51,0.47,0.46,0.51,0.54,0.47,0.48,0.51,0.48,0.51,0.51,0.49,0.47,0.53,0.51,0.54,0.43,0.43,0.43,0.43,0.54,0.43,0.55,0.52,0.55,0.46,0.43,0.46,0.43,0.46,0.47,0.48,0.48,0.48,0.43,0.53,0.47,0.52,0.50,0.53,0.51,0.51,0.42,0.51,0.48,0.51,0.53,0.50,0.52,0.50,0.43,0.48,0.55,0.45,0.50,0.46,0.46,0.56,0.56,0.60,0.50,0.46,0.56,0.48,0.53,0.53,0.48,0.49,0.48,0.48,0.60,0.47,0.60,0.53,0.49,0.56,0.49,0.54,0.54,0.50,0.52,0.48,0.46,0.54,0.47,0.54,0.46,0.48,0.52,0.46,0.47
128-1,NaN,0.62,0.64,0.73,0.72,0.60,0.72,0.59,0.63,0.50,0.57,0.60,0.67,0.58,0.58,0.49,0.55,0.48,0.57,0.60,0.67,0.68,0.55,0.56,0.52,0.56,0.56,0.57,0.79,0.55,0.66,0.47,0.66,0.56,0.55,0.54,0.53,0.64,0.54,0.52,0.53,0.53,0.54,0.53,0.53,0.57,0.55,0.50,0.59,0.51,0.52,0.53,0.53,0.47,0.50,0.51,0.51,0.54,0.71,0.47,0.60,0.52,0.51,0.54,0.54,0.51,0.50,0.60,0.51,0.54,0.48,0.48,0.46,0.53,0.46,0.46,0.49,0.66,0.46,0.53,0.49,0.58,0.55,0.51,0.61,0.47,0.54,0.63,0.50,0.43,0.49,0.65,0.47,0.61,0.52,0.49,0.40,0.51,0.48,0.47,0.48,0.46,0.49,0.45,0.50,0.52,0.61,0.43
129-1,NaN,0.87,0.82,0.82,0.79,0.79,0.81,0.77,0.88,0.87,0.75,0.88,0.79,0.84,0.77,0.86,0.71,0.85,0.77,0.83,0.80,0.71,0.77,0.77,0.74,0.78,0.72,0.69,0.84,0.76,0.81,0.84,0.74,0.69,0.68,0.70,0.70,0.80,0.68,0.72,0.73,0.77,0.71,0.70,0.71,0.68,0.83,0.72,0.69,0.83,0.82,0.69,0.67,0.54,0.77,0.73,0.72,0.67,0.80,0.59,0.76,0.76,0.70,0.68,0.73,0.70,0.81,0.68,0.68,0.56,0.57,0.80,0.64,0.65,0.69,0.69,0.56,0.71,0.63,0.54,0.55,0.67,0.61,0.68,0.65,0.66,0.66,0.59,0.55,0.63,0.68,0.67,0.58,0.65,0.51,0.69,0.66,0.67,0.61,0.59,0.55,0.57,0.59,0.56,0.68,0.40,0.78,0.44
129-2,NaN,0.58,0.72,0.72,0.71,0.71,0.72,0.73,0.68,0.69,0.62,0.70,0.78,0.78,0.62,0.69,0.51,0.67,0.63,0.65,0.71,0.63,0.63,0.65,0.67,0.65,0.68,0.70,0.32,0.62,0.71,0.67,0.65,0.51,0.51,0.53,0.52,0.69,0.53,0.65,0.61,0.66,0.63,0.52,0.62,0.48,0.70,0.61,0.72,0.74,0.74,0.52,0.62,0.45,0.69,0.63,0.66,0.65,0.29,0.48,0.69,0.70,0.65,0.66,0.64,0.64,0.68,0.70,0.67,0.50,0.46,0.66,0.72,0.48,0.68,0.68,0.56,0.77,0.72,0.53,0.49,0.59,0.50,0.56,0.42,0.67,0.55,0.65,0.51,0.64,0.66,0.73,0.59,0.42,0.49,0.70,0.72,0.57,0.59,0.69,0.57,0.57,0.59,0.67,0.54,0.43,0.44,0.59
129-3,NaN,0.87,0.81,0.81,0.78,0.80,0.80,0.77,0.89,0.88,0.75,0.88,0.82,0.84,0.77,0.87,0.72,0.86,0.77,0.84,0.81,0.71,0.76,0.77,0.74,0.78,0.72,0.69,0.85,0.76,0.82,0.86,0.74,0.69,0.68,0.72,0.71,0.81,0.68,0.73,0.73,0.78,0.71,0.70,0.70,0.69,0.84,0.72,0.70,0.84,0.82,0.69,0.67,0.54,0.78,0.73,0.73,0.67,0.80,0.60,0.76,0.76,0.70,0.68,0.74,0.70,0.83,0.69,0.68,0.57,0.57,0.83,0.64,0.65,0.69,0.69,0.57,0.69,0.64,0.54,0.55,0.68,0.61,0.69,0.66,0.68,0.66,0.58,0.55,0.63,0.68,0.66,0.59,0.65,0.50,0.69,0.66,0.67,0.63,0.59,0.55,0.57,0.59,0.57,0.68,0.40,0.78,0.42
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.74,0.70,0.53,0.53,0.69,0.52,0.60,0.53,0.68,0.65,0.53,0.53,0.74,0.66,0.68,0.65,0.68,0.65,0.59,0.56,0.49,0.65,0.64,0.61,0.63,0.60,0.59,0.82,0.65,0.68,0.68,0.51,0.63,0.63,0.62,0.62,0.58,0.62,0.59,0.61,0.55,0.61,0.62,0.61,0.57,0.68,0.60,0.53,0.68,0.68,0.62,0.57,0.61,0.66,0.59,0.62,0.58,0.78,0.63,0.64,0.49,0.64,0.61,0.61,0.64,0.63,0.50,0.51,0.53,0.61,0.66,0.48,0.55,0.60,0.60,0.50,0.49,0.48,0.51,0.53,0.54,0.56,0.60,0.63,0.55,0.58,0.53,0.54,0.59,0.62,0.53,0.49,0.63,0.52,0.58,0.51,0.61,0.54,0.45,0.48,0.48,0.50,0.45,0.52,0.49,0.49,0.47
131-2,NaN,0.74,0.66,0.53,0.53,0.65,0.52,0.61,0.53,0.69,0.66,0.57,0.53,0.75,0.66,0.69,0.66,0.69,0.66,0.61,0.57,0.46,0.66,0.65,0.62,0.64,0.61,0.59,0.82,0.66,0.70,0.69,0.48,0.63,0.63,0.62,0.62,0.59,0.62,0.54,0.61,0.56,0.62,0.62,0.62,0.57,0.69,0.61,0.57,0.70,0.70,0.62,0.59,0.61,0.66,0.60,0.61,0.57,0.78,0.63,0.68,0.54,0.64,0.64,0.60,0.65,0.64,0.50,0.51,0.46,0.62,0.67,0.48,0.55,0.61,0.61,0.46,0.49,0.48,0.46,0.53,0.50,0.57,0.59,0.63,0.55,0.57,0.49,0.55,0.59,0.61,0.56,0.47,0.63,0.46,0.58,0.56,0.61,0.54,0.45,0.46,0.47,0.47,0.45,0.53,0.49,0.48,0.47
131-3,NaN,0.79,0.89,0.60,0.64,0.85,0.63,0.76,0.50,0.69,0.73,0.57,0.57,0.82,0.72,0.69,0.69,0.68,0.74,0.68,0.65,0.62,0.75,0.71,0.72,0.73,0.68,0.66,0.84,0.75,0.74,0.67,0.63,0.72,0.71,0.69,0.69,0.68,0.72,0.54,0.70,0.58,0.66,0.72,0.66,0.71,0.76,0.64,0.54,0.72,0.71,0.72,0.65,0.65,0.69,0.63,0.61,0.61,0.84,0.64,0.68,0.58,0.70,0.70,0.69,0.71,0.64,0.50,0.69,0.50,0.62,0.67,0.65,0.66,0.69,0.69,0.47,0.40,0.65,0.48,0.58,0.56,0.69,0.53,0.69,0.51,0.59,0.46,0.57,0.69,0.64,0.57,0.51,0.69,0.47,0.60,0.54,0.62,0.53,0.62,0.51,0.49,0.52,0.61,0.56,0.59,0.55,0.37
132-1,NaN,0.85,0.79,0.63,0.72,0.83,0.63,0.91,0.79,0.79,0.72,0.80,0.70,0.76,0.73,0.79,0.67,0.76,0.74,0.82,0.66,0.51,0.72,0.73,0.69,0.74,0.74,0.74,0.80,0.72,0.65,0.78,0.50,0.61,0.62,0.63,0.69,0.65,0.65,0.61,0.69,0.75,0.63,0.65,0.66,0.62,0.72,0.62,0.60,0.76,0.79,0.65,0.61,0.63,0.77,0.64,0.60,0.60,0.78,0.59,0.61,0.79,0.63,0.62,0.72,0.63,0.74,0.54,0.64,0.51,0.70,0.73,0.56,0.69,0.58,0.54,0.47,0.62,0.55,0.54,0.52,0.47,0.72,0.59,0.61,0.64,0.59,0.53,0.55,0.49,0.61,0.60,0.48,0.60,0.53,0.62,0.55,0.60,0.62,0.57,0.49,0.55,0.53,0.52,0.65,0.52,0.66,0.55
132-2,NaN,0.83,0.79,0.63,0.72,0.83,0.63,0.90,0.79,0.79,0.72,0.81,0.70,0.76,0.73,0.79,0.67,0.76,0.73,0.82,0.66,0.52,0.69,0.72,0.67,0.73,0.73,0.73,0.82,0.70,0.64,0.78,0.51,0.61,0.63,0.64,0.70,0.64,0.66,0.53,0.66,0.76,0.61,0.66,0.63,0.62,0.72,0.59,0.55,0.76,0.79,0.66,0.58,0.64,0.76,0.63,0.53,0.55,0.80,0.59,0.60,0.79,0.62,0.61,0.72,0.62,0.74,0.55,0.63,0.51,0.71,0.73,0.56,0.69,0.57,0.53,0.47,0.62,0.55,0.55,0.53,0.47,0.72,0.57,0.63,0.64,0.56,0.53,0.56,0.48,0.60,0.60,0.52,0.62,0.53,0.63,0.57,0.63,0.62,0.57,0.53,0.56,0.55,0.52,0.66,0.51,0.67,0.56
65-1,NaN,0.75,0.72,0.59,0.59,0.67,0.57,0.61,0.68,0.79,0.68,0.68,0.63,0.60,0.69,0.79,0.70,0.79,0.65,0.72,0.65,0.48,0.65,0.71,0.64,0.69,0.58,0.55,0.42,0.63,0.52,0.79,0.48,0.74,0.72,0.67,0.66,0.56,0.67,0.46,0.59,0.69,0.66,0.66,0.65,0.68,0.69,0.60,0.46,0.65,0.66,0.65,0.60,0.55,0.68,0.66,0.48,0.45,0.39,0.59,0.50,0.78,0.52,0.47,0.62,0.54,0.74,0.51,0.57,0.64,0.64,0.73,0.53,0.73,0.58,0.58,0.68,0.73,0.54,0.62,0.57,0.54,0.64,0.50,0.38,0.48,0.51,0.69,0.59,0.55,0.53,0.64,0.56,0.38,0.59,0.60,0.64,0.45,0.42,0.55,0.53,0.47,0.57,0.51,0.49,0.46,0.28,0.44
65-2,NaN,0.76,0.72,0.59,0.58,0.67,0.57,0.61,0.68,0.79,0.68,0.66,0.64,0.60,0.71,0.78,0.71,0.79,0.66,0.73,0.65,0.48,0.65,0.71,0.64,0.69,0.58,0.55,0.41,0.63,0.52,0.79,0.47,0.74,0.72,0.67,0.66,0.55,0.67,0.46,0.58,0.69,0.67,0.67,0.65,0.70,0.69,0.60,0.47,0.65,0.66,0.65,0.59,0.55,0.68,0.66,0.48,0.46,0.39,0.59,0.49,0.78,0.52,0.47,0.62,0.54,0.74,0.51,0.57,0.64,0.63,0.73,0.54,0.73,0.58,0.58,0.68,0.73,0.55,0.63,0.57,0.54,0.64,0.50,0.38,0.49,0.51,0.70,0.59,0.55,0.53,0.64,0.56,0.38,0.60,0.60,0.64,0.45,0.42,0.56,0.53,0.47,0.57,0.51,0.48,0.46,0.28,0.45
65-3,NaN,0.76,0.71,0.59,0.60,0.68,0.59,0.61,0.70,0.79,0.68,0.68,0.64,0.60,0.69,0.77,0.71,0.79,0.65,0.73,0.66,0.49,0.65,0.71,0.63,0.68,0.59,0.55,0.40,0.64,0.51,0.79,0.48,0.71,0.71,0.67,0.65,0.55,0.67,0.46,0.59,0.69,0.65,0.64,0.65,0.68,0.69,0.60,0.47,0.65,0.65,0.63,0.60,0.54,0.68,0.66,0.47,0.45,0.39,0.60,0.49,0.78,0.52,0.47,0.61,0.54,0.72,0.50,0.57,0.65,0.64,0.73,0.52,0.72,0.57,0.57,0.67,0.76,0.52,0.63,0.58,0.52,0.63,0.50,0.37,0.47,0.51,0.70,0.59,0.54,0.53,0.65,0.56,0.37,0.60,0.59,0.64,0.45,0.42,0.54,0.53,0.45,0.57,0.51,0.48,0.45,0.28,0.44
68-1,NaN,0.82,0.81,0.71,0.76,0.83,0.75,0.73,0.78,0.60,0.56,0.80,0.67,0.64,0.73,0.60,0.65,0.60,0.72,0.55,0.57,0.58,0.73,0.72,0.66,0.72,0.51,0.58,0.76,0.73,0.55,0.60,0.59,0.71,0.60,0.61,0.61,0.56,0.73,0.44,0.55,0.54,0.58,0.74,0.58,0.72,0.53,0.56,0.49,0.55,0.55,0.74,0.56,0.64,0.53,0.60,0.49,0.45,0.75,0.63,0.56,0.66,0.48,0.56,0.49,0.47,0.54,0.50,0.62,0.54,0.66,0.53,0.59,0.70,0.65,0.64,0.44,0.64,0.59,0.59,0.53,0.48,0.69,0.56,0.59,0.74,0.53,0.52,0.52,0.62,0.53,0.68,0.51,0.59,0.56,0.50,0.59,0.55,0.75,0.61,0.50,0.53,0.51,0.63,0.68,0.56,0.70,0.47
68-2,NaN,0.83,0.82,0.70,0.80,0.84,0.79,0.77,0.73,0.63,0.56,0.75,0.75,0.69,0.72,0.63,0.71,0.63,0.73,0.51,0.68,0.56,0.73,0.72,0.66,0.74,0.55,0.64,0.74,0.73,0.66,0.63,0.57,0.77,0.61,0.59,0.59,0.65,0.78,0.47,0.54,0.55,0.56,0.77,0.56,0.77,0.53,0.54,0.50,0.55,0.56,0.77,0.55,0.64,0.57,0.58,0.51,0.46,0.75,0.63,0.66,0.56,0.50,0.64,0.53,0.49,0.59,0.50,0.68,0.49,0.65,0.59,0.63,0.73,0.64,0.64,0.45,0.60,0.64,0.54,0.57,0.41,0.63,0.64,0.58,0.79,0.59,0.56,0.55,0.66,0.53,0.63,0.51,0.58,0.50,0.49,0.60,0.56,0.78,0.66,0.50,0.55,0.51,0.67,0.66,0.54,0.70,0.52
69-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-2,NaN,0.91,0.81,0.71,0.64,0.77,0.64,0.71,0.61,0.72,0.78,0.63,0.78,0.79,0.79,0.71,0.64,0.71,0.79,0.65,0.84,0.52,0.79,0.77,0.74,0.78,0.72,0.67,0.85,0.78,0.82,0.71,0.57,0.62,0.62,0.62,0.62,0.78,0.61,0.73,0.74,0.60,0.72,0.60,0.72,0.59,0.69,0.68,0.60,0.69,0.70,0.59,0.64,0.55,0.72,0.69,0.79,0.72,0.77,0.57,0.80,0.68,0.70,0.79,0.69,0.72,0.63,0.60,0.78,0.59,0.57,0.66,0.66,0.57,0.72,0.72,0.61,0.58,0.66,0.55,0.56,0.55,0.62,0.82,0.73,0.64,0.82,0.57,0.54,0.67,0.65,0.60,0.59,0.73,0.55,0.51,0.64,0.70,0.70,0.67,0.61,0.53,0.59,0.66,0.74,0.52,0.53,0.54
70-1,NaN,0.52,0.73,0.73,0.77,0.76,0.72,0.77,0.73,0.75,0.71,0.73,0.73,0.74,0.72,0.76,0.64,0.75,0.74,0.80,0.72,0.75,0.70,0.72,0.72,0.71,0.61,0.64,0.83,0.71,0.66,0.75,0.73,0.66,0.68,0.70,0.69,0.54,0.70,0.52,0.72,0.71,0.68,0.63,0.67,0.67,0.74,0.70,0.51,0.68,0.69,0.65,0.68,0.65,0.70,0.68,0.60,0.56,0.83,0.62,0.61,0.64,0.61,0.57,0.63,0.56,0.66,0.46,0.62,0.60,0.65,0.66,0.50,0.67,0.65,0.66,0.47,0.58,0.54,0.57,0.60,0.68,0.58,0.54,0.63,0.52,0.54,0.55,0.59,0.71,0.50,0.63,0.68,0.64,0.61,0.54,0.68,0.50,0.60,0.61,0.65,0.48,0.66,0.57,0.61,0.47,0.65,0.55
70-2,NaN,0.66,0.57,0.73,0.71,0.62,0.68,0.83,0.70,0.67,0.69,0.72,0.61,0.56,0.76,0.74,0.50,0.77,0.77,0.75,0.62,0.66,0.77,0.68,0.59,0.69,0.53,0.54,0.81,0.80,0.77,0.67,0.69,0.50,0.50,0.50,0.50,0.53,0.49,0.50,0.62,0.64,0.64,0.50,0.68,0.50,0.55,0.59,0.56,0.53,0.56,0.49,0.63,0.57,0.64,0.64,0.63,0.56,0.81,0.48,0.76,0.58,0.52,0.74,0.52,0.52,0.66,0.60,0.69,0.52,0.57,0.66,0.46,0.72,0.65,0.65,0.55,0.49,0.51,0.49,0.65,0.63,0.68,0.57,0.64,0.49,0.61,0.49,0.57,0.64,0.52,0.65,0.63,0.66,0.57,0.44,0.54,0.59,0.50,0.49,0.63,0.52,0.57,0.52,0.65,0.52,0.45,0.51
70-3,NaN,0.58,0.49,0.50,0.50,0.73,0.50,0.65,0.71,0.78,0.80,0.63,0.49,0.62,0.50,0.78,0.50,0.78,0.50,0.71,0.54,0.60,0.50,0.50,0.53,0.50,0.51,0.49,0.61,0.50,0.70,0.74,0.54,0.50,0.50,0.50,0.50,0.68,0.50,0.50,0.77,0.69,0.76,0.50,0.76,0.50,0.67,0.75,0.58,0.66,0.66,0.50,0.71,0.50,0.65,0.67,0.50,0.46,0.60,0.50,0.67,0.54,0.57,0.65,0.60,0.58,0.81,0.56,0.56,0.49,0.50,0.81,0.49,0.50,0.77,0.77,0.51,0.57,0.49,0.56,0.54,0.63,0.57,0.47,0.49,0.49,0.47,0.48,0.50,0.75,0.62,0.47,0.68,0.49,0.51,0.53,0.59,0.48,0.49,0.53,0.61,0.47,0.64,0.53,0.59,0.38,0.44,0.46
72-1,NaN,0.69,0.66,0.54,0.53,0.65,0.53,0.65,0.58,0.72,0.71,0.57,0.53,0.67,0.72,0.72,0.66,0.72,0.71,0.66,0.57,0.48,0.71,0.71,0.63,0.70,0.55,0.55,0.76,0.71,0.75,0.72,0.49,0.64,0.64,0.63,0.63,0.61,0.63,0.49,0.61,0.66,0.65,0.63,0.65,0.57,0.65,0.60,0.51,0.71,0.72,0.63,0.55,0.62,0.74,0.59,0.51,0.51,0.73,0.64,0.72,0.54,0.61,0.68,0.58,0.60,0.70,0.47,0.55,0.50,0.62,0.74,0.51,0.67,0.66,0.66,0.47,0.48,0.51,0.49,0.56,0.50,0.60,0.44,0.58,0.54,0.44,0.48,0.56,0.62,0.56,0.51,0.48,0.57,0.49,0.52,0.60,0.61,0.53,0.51,0.49,0.47,0.48,0.51,0.66,0.50,0.62,0.48
72-2,NaN,0.64,0.50,0.54,0.54,0.54,0.54,0.55,0.54,0.69,0.71,0.53,0.50,0.63,0.72,0.69,0.66,0.69,0.71,0.61,0.54,0.51,0.71,0.71,0.65,0.70,0.49,0.49,0.49,0.71,0.73,0.69,0.51,0.64,0.64,0.63,0.63,0.57,0.63,0.49,0.63,0.59,0.66,0.63,0.66,0.57,0.63,0.63,0.49,0.62,0.62,0.63,0.57,0.60,0.67,0.61,0.52,0.51,0.49,0.62,0.71,0.49,0.53,0.67,0.51,0.53,0.67,0.50,0.52,0.50,0.60,0.67,0.50,0.67,0.67,0.67,0.49,0.49,0.50,0.50,0.56,0.50,0.60,0.49,0.49,0.50,0.49,0.49,0.54,0.64,0.52,0.49,0.56,0.48,0.50,0.47,0.56,0.61,0.50,0.50,0.54,0.50,0.54,0.50,0.70,0.48,0.48,0.49
73-1,NaN,0.77,0.78,0.67,0.68,0.75,0.67,0.53,0.59,0.75,0.67,0.60,0.56,0.67,0.66,0.74,0.61,0.74,0.65,0.61,0.63,0.61,0.65,0.66,0.63,0.65,0.61,0.56,0.84,0.65,0.62,0.73,0.62,0.55,0.56,0.56,0.56,0.64,0.57,0.53,0.62,0.62,0.65,0.59,0.65,0.52,0.66,0.63,0.56,0.67,0.66,0.58,0.60,0.46,0.66,0.67,0.62,0.58,0.80,0.47,0.58,0.68,0.62,0.53,0.67,0.62,0.70,0.48,0.62,0.64,0.47,0.72,0.60,0.44,0.62,0.62,0.59,0.70,0.60,0.61,0.46,0.69,0.52,0.63,0.65,0.61,0.56,0.58,0.45,0.57,0.58,0.68,0.54,0.65,0.60,0.51,0.58,0.62,0.55,0.57,0.54,0.47,0.56,0.56,0.63,0.46,0.67,0.52
