ID-model,GO:0003674,GO:0008527,GO:0016874,GO:0016879,GO:0016881,GO:0019787,GO:0004842,GO:0008509,GO:0004930,GO:0042578,GO:0016887,GO:0000982,GO:0001077,GO:0016462,GO:0016818,GO:0016301,GO:0017111,GO:0016772,GO:0005216,GO:0015267,GO:0022803,GO:0022838,GO:0016817,GO:0015075,GO:0016746,GO:0016773,GO:0003700,GO:0001071,GO:0004672,GO:0004888,GO:0004674,GO:0016747,GO:0016788,GO:0038023,GO:0004872,GO:0022891,GO:0022857,GO:0001228,GO:0000981,GO:0003677,GO:0016491,GO:0022892,GO:0016740,GO:0004871,GO:0060089,GO:0003823,GO:0043565,GO:0000977,GO:0001012,GO:0008324,GO:0022836,GO:0022839,GO:0016787,GO:0005215,GO:0000976,GO:0005261,GO:0005198,GO:0008233,GO:0000987,GO:0001159,GO:0046873,GO:0022890,GO:0000978,GO:0003676,GO:0046872,GO:0003824,GO:0070011,GO:0001067,GO:0000975,GO:0044212,GO:1901363,GO:0097159,GO:0043169,GO:0042803,GO:0036094,GO:0008092,GO:0043167,GO:0043168,GO:0008047,GO:0031267,GO:0017016,GO:0005543,GO:0003723,GO:0051020,GO:0005488,GO:0042802,GO:0030234,GO:0015631,GO:0008289,GO:0003729,GO:0005515,GO:0046983,GO:0005102,GO:0003682,GO:0032403,GO:0019899,GO:0046982,GO:0030674,GO:0031625,GO:0044389,GO:0060090,GO:0043566,GO:0031490,GO:0019901,GO:0019900,GO:0019904
126-1,NaN,0.50,0.54,0.50,0.50,0.50,0.50,0.65,0.78,0.55,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.54,0.65,0.65,0.65,0.65,0.50,0.63,0.54,0.50,0.53,0.53,0.50,0.75,0.50,0.50,0.55,0.75,0.72,0.63,0.63,0.50,0.50,0.55,0.61,0.62,0.58,0.72,0.72,0.59,0.50,0.50,0.50,0.62,0.64,0.64,0.54,0.61,0.50,0.65,0.54,0.54,0.50,0.50,0.62,0.61,0.50,0.54,0.60,0.55,0.55,0.50,0.50,0.50,0.53,0.53,0.58,0.50,0.54,0.56,0.57,0.54,0.55,0.53,0.53,0.54,0.50,0.53,0.59,0.51,0.52,0.50,0.53,0.50,0.55,0.50,0.51,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
127-1,NaN,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.89,0.87,0.81,0.92,0.92,0.97,0.92,0.97,0.97,0.97,0.97,0.97,0.92,0.97,0.91,0.96,0.94,0.94,0.96,0.99,0.95,0.90,0.99,0.99,0.99,0.95,0.95,0.83,0.90,0.92,0.99,0.95,0.94,0.99,0.99,0.84,0.86,0.74,0.74,0.89,0.88,0.88,0.92,0.94,0.77,0.83,0.75,0.82,0.53,0.53,0.79,0.79,0.54,0.86,0.91,0.91,0.79,0.76,0.75,0.74,0.82,0.82,0.84,0.59,0.66,0.77,0.75,0.67,0.79,0.55,0.55,0.63,0.72,0.57,0.64,0.55,0.75,0.69,0.59,0.62,0.65,0.55,0.70,0.69,0.62,0.57,0.47,0.48,0.50,0.50,0.48,0.65,0.49,0.49,0.51,0.48
127-2,NaN,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.88,0.92,0.92,0.91,0.91,0.96,0.91,0.96,0.97,0.97,0.97,0.97,0.91,0.97,0.94,0.96,0.95,0.95,0.95,1.00,0.95,0.93,0.99,0.99,0.99,0.95,0.95,0.88,0.89,0.93,0.99,0.95,0.94,0.99,0.99,0.88,0.92,0.87,0.87,0.89,0.87,0.87,0.91,0.94,0.87,0.86,0.85,0.81,0.83,0.84,0.85,0.85,0.83,0.88,0.91,0.91,0.77,0.85,0.84,0.84,0.85,0.84,0.82,0.59,0.69,0.80,0.79,0.76,0.73,0.68,0.68,0.70,0.76,0.67,0.71,0.52,0.78,0.63,0.66,0.68,0.65,0.56,0.63,0.83,0.62,0.52,0.64,0.48,0.52,0.52,0.47,0.74,0.74,0.48,0.47,0.43
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,1.00,0.76,0.71,0.72,0.72,0.74,0.59,0.92,0.89,0.69,0.78,0.76,0.73,0.73,0.77,0.71,0.74,0.58,0.58,0.58,0.58,0.72,0.63,0.90,0.78,0.79,0.79,0.76,0.83,0.71,0.90,0.85,0.82,0.81,0.62,0.62,0.79,0.79,0.67,0.84,0.62,0.76,0.80,0.80,0.69,0.75,0.74,0.74,0.63,0.57,0.57,0.71,0.61,0.74,0.56,0.67,0.66,0.71,0.71,0.59,0.59,0.71,0.67,0.64,0.71,0.64,0.69,0.69,0.69,0.64,0.63,0.61,0.52,0.63,0.67,0.56,0.53,0.63,0.55,0.55,0.49,0.70,0.54,0.57,0.53,0.55,0.62,0.52,0.62,0.55,0.48,0.54,0.55,0.51,0.52,0.51,0.47,0.57,0.57,0.46,0.51,0.47,0.56,0.60,0.42
129-1,NaN,1.00,0.99,0.99,0.99,0.99,0.99,0.68,1.00,1.00,0.92,0.93,0.93,0.93,0.93,0.95,0.94,0.96,0.95,0.98,0.98,0.95,0.93,0.97,0.94,0.95,0.95,0.95,0.95,1.00,0.94,0.94,0.99,0.99,0.98,0.96,0.96,0.92,0.93,0.93,1.00,0.95,0.92,0.99,0.99,0.88,0.91,0.85,0.85,0.96,0.85,0.85,0.90,0.92,0.87,0.88,0.78,0.90,0.83,0.83,0.96,0.95,0.75,0.88,0.89,0.89,0.83,0.81,0.81,0.81,0.84,0.83,0.82,0.65,0.68,0.80,0.80,0.81,0.74,0.69,0.70,0.67,0.75,0.74,0.57,0.63,0.74,0.73,0.62,0.66,0.45,0.55,0.73,0.72,0.60,0.61,0.48,0.50,0.67,0.67,0.53,0.74,0.46,0.62,0.67,0.49
129-2,NaN,0.50,0.41,0.43,0.43,0.43,0.44,0.46,0.41,0.56,0.66,0.74,0.78,0.65,0.65,0.37,0.67,0.37,0.43,0.45,0.45,0.43,0.65,0.41,0.71,0.38,0.61,0.61,0.34,0.48,0.34,0.69,0.56,0.48,0.50,0.43,0.42,0.71,0.65,0.52,0.53,0.42,0.47,0.47,0.47,0.79,0.63,0.67,0.67,0.46,0.46,0.46,0.60,0.43,0.64,0.49,0.60,0.65,0.70,0.70,0.41,0.40,0.63,0.47,0.50,0.51,0.65,0.50,0.50,0.50,0.47,0.47,0.48,0.62,0.59,0.69,0.50,0.52,0.63,0.52,0.53,0.53,0.37,0.55,0.61,0.61,0.57,0.63,0.49,0.45,0.62,0.57,0.63,0.58,0.66,0.59,0.53,0.48,0.50,0.50,0.51,0.79,0.49,0.53,0.51,0.61
129-3,NaN,1.00,0.99,0.99,0.99,0.99,0.99,0.67,1.00,1.00,0.92,0.93,0.93,0.93,0.93,0.95,0.94,0.96,0.95,0.98,0.98,0.95,0.93,0.97,0.94,0.95,0.95,0.95,0.95,1.00,0.93,0.94,0.99,0.99,0.98,0.96,0.96,0.91,0.93,0.93,1.00,0.95,0.92,0.99,0.99,0.88,0.91,0.85,0.87,0.96,0.85,0.85,0.90,0.92,0.87,0.88,0.78,0.91,0.83,0.84,0.96,0.96,0.78,0.88,0.88,0.89,0.83,0.81,0.81,0.81,0.84,0.83,0.80,0.65,0.69,0.80,0.80,0.81,0.73,0.75,0.70,0.67,0.75,0.81,0.57,0.65,0.73,0.73,0.63,0.66,0.45,0.57,0.73,0.71,0.63,0.61,0.48,0.51,0.67,0.67,0.51,0.73,0.46,0.62,0.67,0.49
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.75,0.84,0.77,0.77,0.73,0.70,0.60,1.00,0.95,0.80,0.53,0.50,0.85,0.85,0.97,0.84,0.97,0.72,0.72,0.72,0.72,0.85,0.76,0.92,0.97,0.83,0.83,0.96,0.94,0.95,0.86,0.86,0.94,0.97,0.75,0.77,0.50,0.54,0.88,0.96,0.76,0.94,0.94,0.94,0.59,0.72,0.51,0.51,0.82,0.69,0.69,0.85,0.77,0.52,0.77,0.74,0.83,0.50,0.50,0.77,0.76,0.50,0.82,0.82,0.86,0.80,0.51,0.51,0.51,0.75,0.74,0.77,0.49,0.68,0.58,0.66,0.66,0.59,0.53,0.53,0.58,0.65,0.53,0.57,0.49,0.61,0.55,0.57,0.55,0.55,0.49,0.54,0.57,0.50,0.51,0.50,0.54,0.55,0.55,0.54,0.50,0.50,0.50,0.50,0.50
131-2,NaN,0.79,0.84,0.82,0.82,0.77,0.75,0.65,1.00,0.95,0.85,0.53,0.50,0.82,0.82,0.97,0.81,0.97,0.75,0.75,0.75,0.75,0.82,0.78,0.83,0.97,0.82,0.82,0.97,0.94,0.96,0.77,0.86,0.93,0.96,0.77,0.79,0.50,0.56,0.89,0.96,0.77,0.95,0.94,0.94,0.59,0.72,0.51,0.51,0.82,0.69,0.69,0.85,0.79,0.52,0.77,0.75,0.83,0.50,0.50,0.77,0.76,0.50,0.84,0.83,0.87,0.80,0.51,0.51,0.51,0.79,0.78,0.78,0.49,0.68,0.60,0.66,0.66,0.59,0.53,0.53,0.58,0.71,0.53,0.57,0.49,0.61,0.55,0.57,0.55,0.54,0.49,0.55,0.57,0.50,0.50,0.50,0.54,0.50,0.50,0.54,0.50,0.50,0.50,0.50,0.50
131-3,NaN,0.87,0.82,0.80,0.80,0.80,0.78,0.98,1.00,0.94,0.87,0.63,0.60,0.89,0.89,0.96,0.88,0.99,0.93,0.93,0.93,0.93,0.88,0.93,0.95,0.96,0.91,0.91,0.96,1.00,0.95,0.94,0.92,0.99,0.98,0.91,0.90,0.62,0.69,0.93,0.98,0.91,0.95,0.98,0.98,0.83,0.81,0.54,0.56,0.81,0.84,0.84,0.91,0.87,0.61,0.79,0.76,0.90,0.53,0.55,0.79,0.78,0.51,0.89,0.85,0.88,0.83,0.66,0.66,0.65,0.82,0.81,0.77,0.53,0.75,0.59,0.71,0.75,0.60,0.58,0.55,0.70,0.75,0.58,0.64,0.50,0.64,0.54,0.64,0.55,0.60,0.52,0.59,0.62,0.50,0.52,0.54,0.61,0.55,0.55,0.61,0.54,0.50,0.50,0.52,0.49
132-1,NaN,1.00,0.99,0.97,0.97,0.98,0.98,0.99,0.98,0.99,0.89,0.75,0.64,0.91,0.91,0.95,0.91,0.95,0.88,0.88,0.88,0.88,0.92,0.93,0.94,0.95,0.85,0.90,0.96,0.92,0.92,0.93,0.97,0.90,0.96,0.90,0.90,0.75,0.87,0.85,0.98,0.89,0.94,0.88,0.96,0.88,0.79,0.75,0.77,0.88,0.78,0.78,0.91,0.85,0.80,0.83,0.87,0.96,0.58,0.58,0.90,0.89,0.60,0.84,0.77,0.88,0.96,0.81,0.79,0.79,0.79,0.78,0.73,0.51,0.72,0.82,0.70,0.75,0.68,0.74,0.76,0.73,0.87,0.75,0.82,0.47,0.71,0.78,0.69,0.81,0.83,0.50,0.71,0.76,0.56,0.58,0.49,0.66,0.76,0.81,0.64,0.73,0.61,0.54,0.61,0.47
132-2,NaN,1.00,0.98,0.95,0.96,0.97,0.96,0.99,0.98,0.98,0.88,0.75,0.64,0.91,0.91,0.95,0.91,0.95,0.88,0.88,0.88,0.88,0.93,0.93,0.94,0.95,0.87,0.93,0.97,0.91,0.93,0.93,0.97,0.89,0.97,0.90,0.90,0.75,0.87,0.84,0.98,0.89,0.95,0.87,0.96,0.88,0.79,0.75,0.77,0.86,0.78,0.78,0.90,0.86,0.80,0.81,0.87,0.96,0.58,0.58,0.90,0.89,0.60,0.83,0.78,0.88,0.96,0.81,0.79,0.79,0.79,0.78,0.74,0.51,0.72,0.82,0.71,0.75,0.68,0.74,0.76,0.73,0.87,0.75,0.71,0.47,0.71,0.78,0.69,0.81,0.65,0.50,0.71,0.76,0.54,0.58,0.49,0.66,0.76,0.81,0.64,0.73,0.61,0.54,0.61,0.47
65-1,NaN,1.00,0.77,0.81,0.88,0.94,0.77,0.71,1.00,0.82,0.73,0.67,0.59,0.73,0.73,0.92,0.76,0.89,0.83,0.81,0.80,0.82,0.73,0.72,0.68,0.93,0.68,0.67,0.99,0.97,0.98,0.69,0.76,0.95,0.94,0.68,0.67,0.57,0.73,0.49,0.70,0.67,0.75,0.94,0.94,0.84,0.63,0.57,0.56,0.77,0.87,0.80,0.67,0.66,0.59,0.84,0.70,0.75,0.59,0.62,0.82,0.82,0.59,0.63,0.61,0.67,0.77,0.47,0.47,0.48,0.59,0.59,0.59,0.43,0.46,0.57,0.60,0.64,0.73,0.61,0.59,0.67,0.89,0.61,0.46,0.46,0.82,0.55,0.72,0.57,0.55,0.52,0.69,0.54,0.55,0.45,0.54,0.49,0.50,0.50,0.48,0.65,0.49,0.50,0.49,0.59
65-2,NaN,1.00,0.79,0.83,0.89,0.94,0.79,0.70,1.00,0.84,0.73,0.68,0.60,0.74,0.73,0.92,0.75,0.90,0.86,0.82,0.82,0.84,0.73,0.72,0.68,0.93,0.68,0.68,0.99,0.97,0.98,0.68,0.77,0.95,0.94,0.68,0.67,0.57,0.73,0.52,0.71,0.67,0.75,0.94,0.94,0.84,0.64,0.61,0.66,0.77,0.87,0.80,0.68,0.66,0.64,0.84,0.72,0.77,0.60,0.63,0.82,0.82,0.59,0.64,0.64,0.68,0.78,0.49,0.49,0.49,0.60,0.60,0.62,0.47,0.47,0.59,0.60,0.63,0.73,0.59,0.58,0.67,0.90,0.61,0.47,0.46,0.80,0.54,0.72,0.57,0.54,0.53,0.68,0.56,0.59,0.45,0.54,0.48,0.50,0.50,0.45,0.65,0.49,0.50,0.49,0.65
65-3,NaN,1.00,0.79,0.82,0.88,0.95,0.79,0.70,1.00,0.83,0.73,0.68,0.60,0.73,0.73,0.91,0.75,0.89,0.85,0.82,0.82,0.83,0.73,0.70,0.68,0.92,0.68,0.67,0.99,0.97,0.98,0.68,0.75,0.95,0.94,0.67,0.66,0.58,0.73,0.51,0.70,0.67,0.74,0.94,0.94,0.84,0.63,0.62,0.64,0.76,0.86,0.79,0.67,0.65,0.63,0.86,0.80,0.78,0.60,0.63,0.82,0.81,0.59,0.64,0.66,0.67,0.78,0.49,0.49,0.49,0.59,0.59,0.63,0.49,0.47,0.58,0.59,0.64,0.71,0.59,0.58,0.66,0.89,0.61,0.47,0.48,0.81,0.55,0.72,0.57,0.54,0.53,0.69,0.58,0.61,0.45,0.55,0.48,0.50,0.50,0.44,0.64,0.49,0.50,0.49,0.71
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.71,0.65,0.65,0.65,0.66,0.68,0.54,0.70,0.56,0.63,0.53,0.48,0.58,0.58,0.84,0.60,0.85,0.57,0.57,0.57,0.57,0.58,0.62,0.59,0.86,0.48,0.48,0.89,0.64,0.91,0.61,0.62,0.63,0.60,0.61,0.60,0.48,0.51,0.65,0.68,0.60,0.72,0.64,0.64,0.50,0.44,0.50,0.50,0.68,0.59,0.59,0.57,0.59,0.49,0.64,0.57,0.58,0.47,0.47,0.71,0.70,0.47,0.70,0.50,0.63,0.61,0.61,0.60,0.60,0.67,0.67,0.51,0.49,0.49,0.47,0.49,0.56,0.59,0.54,0.54,0.65,0.84,0.56,0.44,0.46,0.68,0.46,0.58,0.71,0.39,0.51,0.48,0.55,0.48,0.51,0.52,0.60,0.55,0.55,0.60,0.44,0.49,0.48,0.52,0.48
69-2,NaN,1.00,0.96,0.97,0.98,0.98,0.98,1.00,1.00,0.98,0.96,0.89,0.88,0.96,0.96,0.99,0.97,0.99,0.96,0.96,0.96,0.96,0.95,0.96,0.94,0.98,0.93,0.93,0.98,0.99,0.98,0.94,0.94,0.99,0.98,0.96,0.96,0.90,0.88,0.91,0.98,0.95,0.95,0.96,0.96,0.84,0.89,0.88,0.88,0.94,0.93,0.93,0.91,0.92,0.85,0.90,0.91,0.87,0.76,0.82,0.89,0.93,0.77,0.88,0.81,0.87,0.85,0.80,0.79,0.79,0.78,0.78,0.77,0.66,0.56,0.75,0.64,0.70,0.70,0.80,0.77,0.79,0.83,0.81,0.73,0.60,0.71,0.78,0.75,0.72,0.69,0.54,0.75,0.84,0.62,0.66,0.47,0.59,0.54,0.54,0.59,0.75,0.49,0.51,0.55,0.55
70-1,NaN,0.50,0.98,0.89,0.90,0.90,0.89,0.95,1.00,0.95,0.93,0.50,0.50,0.95,0.94,0.96,0.94,0.96,0.92,0.94,0.94,0.95,0.94,0.95,0.82,0.96,0.95,0.95,0.96,1.00,0.95,0.81,0.90,1.00,0.99,0.93,0.93,0.50,0.81,0.95,0.94,0.93,0.93,0.99,0.99,0.50,0.93,0.50,0.50,0.92,0.94,0.94,0.88,0.89,0.50,0.88,0.87,0.77,0.50,0.50,0.91,0.83,0.50,0.89,0.74,0.90,0.72,0.82,0.82,0.82,0.86,0.85,0.71,0.55,0.68,0.75,0.71,0.73,0.66,0.55,0.55,0.63,0.76,0.55,0.81,0.60,0.70,0.58,0.61,0.63,0.72,0.54,0.77,0.79,0.51,0.58,0.51,0.49,0.50,0.50,0.48,0.72,0.50,0.50,0.51,0.45
70-2,NaN,0.50,0.92,0.90,0.85,0.81,0.90,0.92,0.56,0.86,0.90,0.92,0.79,0.95,0.95,0.93,0.95,0.89,0.95,0.94,0.95,0.95,0.95,0.99,0.83,0.96,0.92,0.93,0.93,0.81,0.50,0.88,0.83,0.77,0.63,0.95,0.97,0.88,0.91,0.51,0.69,0.95,0.55,0.57,0.57,0.50,0.85,0.84,0.77,0.96,0.97,0.97,0.88,0.92,0.81,0.95,0.58,0.83,0.54,0.63,0.87,0.95,0.55,0.83,0.77,0.64,0.75,0.82,0.82,0.83,0.83,0.82,0.77,0.45,0.71,0.73,0.77,0.62,0.53,0.63,0.63,0.66,0.65,0.62,0.62,0.57,0.61,0.59,0.52,0.54,0.51,0.50,0.50,0.59,0.50,0.52,0.47,0.53,0.50,0.50,0.53,0.73,0.50,0.57,0.56,0.54
70-3,NaN,0.50,0.96,0.96,0.96,0.50,0.50,0.65,0.56,0.98,0.95,0.85,0.82,0.97,0.97,0.96,0.93,0.89,0.78,0.78,0.78,0.78,0.97,0.78,0.73,0.96,0.88,0.88,0.97,0.59,0.65,0.80,0.98,0.59,0.60,0.79,0.77,0.82,0.88,0.63,0.66,0.83,0.85,0.57,0.57,0.73,0.50,0.50,0.50,0.81,0.79,0.79,0.93,0.79,0.50,0.83,0.78,0.80,0.50,0.50,0.57,0.67,0.50,0.58,0.50,0.77,0.75,0.49,0.49,0.49,0.80,0.45,0.49,0.56,0.66,0.66,0.65,0.72,0.54,0.61,0.61,0.57,0.51,0.60,0.57,0.56,0.58,0.63,0.64,0.50,0.54,0.50,0.67,0.50,0.50,0.52,0.50,0.50,0.50,0.50,0.50,0.61,0.50,0.62,0.57,0.49
72-1,NaN,0.88,0.80,0.68,0.68,0.68,0.70,0.70,1.00,0.95,0.81,0.50,0.50,0.90,0.90,0.96,0.90,0.96,0.75,0.75,0.75,0.75,0.90,0.78,0.87,0.96,0.89,0.89,0.96,0.93,0.95,0.77,0.81,0.93,0.93,0.77,0.79,0.50,0.53,0.75,0.81,0.78,0.95,0.88,0.88,0.59,0.62,0.50,0.50,0.82,0.75,0.75,0.86,0.78,0.51,0.77,0.70,0.83,0.50,0.50,0.73,0.73,0.50,0.75,0.63,0.83,0.79,0.51,0.51,0.50,0.67,0.67,0.61,0.49,0.66,0.59,0.63,0.62,0.59,0.62,0.62,0.58,0.64,0.61,0.62,0.49,0.58,0.55,0.61,0.53,0.63,0.49,0.56,0.62,0.49,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
72-2,NaN,0.50,0.65,0.68,0.68,0.68,0.70,0.50,0.68,0.65,0.50,0.50,0.50,0.54,0.54,0.89,0.55,0.88,0.50,0.50,0.50,0.50,0.54,0.50,0.50,0.88,0.89,0.89,0.90,0.67,0.92,0.50,0.58,0.67,0.67,0.50,0.50,0.50,0.50,0.75,0.50,0.50,0.67,0.65,0.65,0.50,0.62,0.50,0.50,0.50,0.50,0.50,0.62,0.50,0.50,0.50,0.66,0.83,0.50,0.50,0.50,0.50,0.50,0.71,0.63,0.61,0.80,0.50,0.50,0.50,0.69,0.69,0.61,0.49,0.49,0.58,0.57,0.51,0.54,0.50,0.50,0.54,0.62,0.50,0.66,0.49,0.52,0.55,0.53,0.53,0.61,0.49,0.53,0.62,0.49,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
73-1,NaN,1.00,0.95,0.95,0.95,0.95,0.95,0.98,0.97,0.99,0.86,0.86,0.66,0.88,0.88,0.90,0.89,0.92,0.95,0.95,0.95,0.95,0.87,0.93,0.93,0.92,0.90,0.90,0.91,0.96,0.93,0.93,0.97,0.95,0.94,0.91,0.89,0.84,0.87,0.84,0.96,0.90,0.86,0.95,0.95,0.83,0.84,0.84,0.84,0.87,0.94,0.94,0.87,0.84,0.83,0.88,0.78,0.92,0.80,0.80,0.84,0.82,0.68,0.77,0.71,0.80,0.91,0.79,0.79,0.79,0.68,0.67,0.66,0.56,0.64,0.76,0.63,0.69,0.62,0.76,0.77,0.80,0.84,0.77,0.55,0.60,0.65,0.76,0.66,0.70,0.69,0.56,0.74,0.65,0.63,0.62,0.70,0.60,0.61,0.61,0.58,0.54,0.57,0.53,0.60,0.55
73-2,NaN,1.00,0.94,0.95,0.95,0.95,0.95,0.99,0.98,0.99,0.90,0.91,0.89,0.88,0.88,0.90,0.89,0.92,0.95,0.95,0.95,0.95,0.87,0.92,0.93,0.92,0.90,0.90,0.91,0.96,0.93,0.94,0.97,0.96,0.95,0.90,0.88,0.88,0.87,0.84,0.96,0.89,0.86,0.95,0.95,0.83,0.84,0.84,0.84,0.85,0.93,0.93,0.87,0.83,0.83,0.86,0.78,0.92,0.79,0.79,0.82,0.80,0.81,0.77,0.71,0.81,0.91,0.80,0.80,0.79,0.68,0.67,0.66,0.62,0.64,0.76,0.64,0.71,0.61,0.77,0.77,0.80,0.85,0.78,0.55,0.66,0.65,0.76,0.66,0.70,0.69,0.59,0.72,0.69,0.63,0.62,0.70,0.60,0.61,0.61,0.58,0.56,0.57,0.54,0.61,0.55
