ID-model,GO:0003674,GO:0008527,GO:0016879,GO:0016881,GO:0019787,GO:0004842,GO:0004674,GO:0016746,GO:0016747,GO:0004930,GO:0004672,GO:0016887,GO:0016874,GO:0000982,GO:0001077,GO:0016462,GO:0015267,GO:0022803,GO:0017111,GO:0016818,GO:0005216,GO:0022838,GO:0016817,GO:0016829,GO:0015075,GO:0016773,GO:0003700,GO:0001071,GO:0022857,GO:0038023,GO:0022891,GO:0042578,GO:0004888,GO:0016772,GO:0016301,GO:0001228,GO:0000981,GO:0003677,GO:0004872,GO:0016788,GO:0022892,GO:0016491,GO:0008509,GO:0004871,GO:0060089,GO:0016740,GO:0005198,GO:0016853,GO:0008233,GO:0043565,GO:0003823,GO:0005215,GO:0000977,GO:0001012,GO:0008324,GO:0022836,GO:0022839,GO:0070011,GO:0016787,GO:0000976,GO:0005261,GO:0003676,GO:0046873,GO:0022890,GO:0000987,GO:0001159,GO:0000978,GO:0000166,GO:1901265,GO:0001067,GO:0000975,GO:0003824,GO:0044212,GO:1901363,GO:0097159,GO:0008047,GO:0042803,GO:0046872,GO:0008092,GO:0030234,GO:0043168,GO:0036094,GO:0043169,GO:0043167,GO:0031267,GO:0017016,GO:0003723,GO:0051020,GO:0005543,GO:0005488,GO:0008289,GO:0015631,GO:0003729,GO:0005515,GO:0046983,GO:0003682,GO:0005102,GO:0042802,GO:0032403,GO:0019899,GO:0030674,GO:0046982,GO:0060090,GO:0031625,GO:0044389,GO:0043566,GO:0031490,GO:0019901,GO:0019900,GO:0019904
125-2,NaN,1.00,0.95,0.95,0.95,0.94,0.99,0.95,0.94,0.99,0.99,0.98,0.99,0.66,0.64,0.97,0.96,0.96,0.97,0.97,0.96,0.96,0.97,1.00,0.95,0.98,0.91,0.91,0.93,0.97,0.95,0.90,0.99,0.97,0.98,0.70,0.80,0.91,0.96,0.93,0.94,0.95,0.91,0.96,0.96,0.94,0.88,0.95,0.83,0.81,0.93,0.90,0.65,0.65,0.92,0.93,0.93,0.81,0.92,0.68,0.90,0.88,0.95,0.95,0.54,0.54,0.52,0.85,0.85,0.64,0.64,0.84,0.64,0.79,0.78,0.58,0.51,0.72,0.67,0.66,0.77,0.77,0.68,0.67,0.64,0.64,0.84,0.63,0.62,0.61,0.58,0.59,0.59,0.61,0.52,0.59,0.62,0.50,0.52,0.55,0.56,0.54,0.56,0.50,0.50,0.55,0.49,0.49,0.49,0.49
125-3,NaN,1.00,0.94,0.94,0.94,0.93,0.98,0.99,0.98,1.00,0.95,0.92,0.92,0.97,0.98,0.95,0.96,0.96,0.95,0.95,0.96,0.96,0.95,0.95,0.94,0.92,0.90,0.90,0.92,0.94,0.95,0.93,0.97,0.94,0.93,0.94,0.93,0.88,0.93,0.93,0.92,0.99,0.91,0.95,0.95,0.93,0.80,0.89,0.82,0.91,0.83,0.87,0.89,0.89,0.93,0.95,0.95,0.79,0.88,0.90,0.93,0.83,0.93,0.93,0.84,0.84,0.87,0.75,0.75,0.84,0.84,0.86,0.84,0.73,0.72,0.71,0.65,0.79,0.82,0.76,0.75,0.67,0.75,0.73,0.76,0.76,0.81,0.76,0.69,0.70,0.61,0.79,0.72,0.75,0.57,0.82,0.78,0.55,0.71,0.61,0.60,0.54,0.60,0.67,0.67,0.67,0.77,0.61,0.65,0.57
126-1,NaN,0.50,0.50,0.50,0.50,0.50,NaN,0.66,0.50,0.99,NaN,0.50,0.83,0.50,0.50,0.50,0.88,0.88,0.50,0.50,0.88,0.88,0.50,0.75,0.88,0.49,0.61,0.61,0.81,0.86,0.81,0.75,0.86,0.99,0.99,0.50,0.50,0.68,0.86,0.83,0.81,0.90,0.80,0.90,0.90,0.99,0.75,NaN,0.75,0.50,0.63,0.81,0.50,0.50,0.99,0.92,0.92,0.75,0.77,0.50,1.00,0.74,1.00,1.00,0.50,0.50,0.50,0.59,0.59,0.50,0.50,0.85,0.50,0.68,0.68,0.75,0.49,0.76,0.70,0.74,0.64,0.56,0.71,0.71,0.56,0.56,0.83,0.56,0.67,0.78,0.62,0.50,0.50,0.67,0.49,0.50,0.53,0.54,0.50,0.52,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
127-1,NaN,1.00,1.00,1.00,1.00,1.00,1.00,0.95,0.95,1.00,0.99,0.94,0.97,0.87,0.81,0.95,0.97,0.97,0.95,0.95,0.97,0.97,0.95,0.95,0.97,0.99,0.93,0.93,0.96,0.99,0.96,0.95,0.96,0.99,0.99,0.83,0.90,0.95,0.99,0.96,0.96,0.99,0.99,0.99,0.99,0.96,0.75,0.90,0.86,0.86,0.84,0.95,0.74,0.74,0.90,0.88,0.88,0.84,0.95,0.77,0.83,0.90,0.81,0.80,0.53,0.53,0.54,0.74,0.74,0.76,0.75,0.93,0.74,0.85,0.84,0.82,0.59,0.86,0.79,0.81,0.70,0.66,0.81,0.75,0.57,0.57,0.76,0.60,0.65,0.65,0.60,0.71,0.65,0.66,0.54,0.70,0.73,0.57,0.64,0.59,0.48,0.47,0.48,0.50,0.50,0.66,0.49,0.49,0.51,0.48
127-2,NaN,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,1.00,0.99,0.94,0.96,0.92,0.92,0.95,0.97,0.97,0.95,0.95,0.97,0.97,0.95,0.94,0.97,0.99,0.96,0.96,0.96,0.99,0.95,0.98,0.96,0.99,0.99,0.90,0.91,0.96,0.98,0.98,0.95,0.99,0.99,0.99,0.99,0.95,0.89,0.89,0.85,0.93,0.88,0.95,0.88,0.88,0.89,0.87,0.87,0.83,0.94,0.88,0.86,0.93,0.86,0.86,0.83,0.83,0.83,0.78,0.78,0.85,0.85,0.93,0.85,0.88,0.87,0.77,0.61,0.89,0.83,0.86,0.78,0.67,0.82,0.80,0.76,0.76,0.80,0.73,0.73,0.74,0.71,0.66,0.71,0.69,0.56,0.85,0.67,0.53,0.65,0.56,0.57,0.65,0.56,0.53,0.53,0.77,0.74,0.48,0.47,0.46
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,1.00,0.98,0.99,0.99,0.99,0.98,0.98,0.98,0.99,0.99,0.96,0.93,0.92,0.91,0.97,0.99,0.99,0.97,0.97,0.99,0.99,0.97,0.94,0.98,0.94,0.92,0.91,0.95,0.95,0.94,0.93,0.92,0.94,0.94,0.98,0.94,0.82,0.95,0.97,0.94,0.98,0.74,0.94,0.94,0.91,0.86,0.94,0.84,0.86,0.82,0.92,0.88,0.88,0.98,1.00,1.00,0.82,0.89,0.84,1.00,0.80,0.98,0.97,0.82,0.82,0.85,0.61,0.61,0.81,0.81,0.86,0.81,0.73,0.72,0.83,0.53,0.69,0.93,0.74,0.55,0.57,0.64,0.58,0.71,0.71,0.78,0.66,0.56,0.67,0.60,0.84,0.67,0.68,0.47,0.62,0.61,0.52,0.52,0.57,0.46,0.51,0.45,0.63,0.63,0.61,0.46,0.56,0.60,0.38
129-1,NaN,1.00,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.00,0.99,0.93,0.91,0.94,0.93,0.94,0.97,0.97,0.95,0.94,0.95,0.95,0.94,0.94,0.97,0.98,0.93,0.93,0.95,0.97,0.96,0.94,0.96,0.96,0.96,0.92,0.93,0.93,0.96,0.96,0.96,0.96,0.63,0.98,0.98,0.92,0.84,0.89,0.96,0.91,0.88,0.92,0.86,0.86,0.95,0.85,0.85,0.90,0.91,0.87,0.88,0.87,0.96,0.96,0.83,0.84,0.76,0.76,0.76,0.82,0.82,0.89,0.82,0.82,0.81,0.75,0.68,0.88,0.81,0.77,0.80,0.66,0.82,0.79,0.70,0.70,0.73,0.74,0.68,0.58,0.63,0.74,0.66,0.47,0.58,0.73,0.75,0.60,0.62,0.64,0.54,0.50,0.58,0.72,0.72,0.76,0.46,0.62,0.67,0.53
129-2,NaN,NaN,0.99,0.99,0.99,0.99,NaN,0.99,0.99,1.00,NaN,0.98,0.99,0.92,0.92,0.98,0.83,0.83,0.98,0.98,0.69,0.69,0.98,0.97,0.84,0.99,0.99,0.99,0.78,0.98,0.79,1.00,0.98,0.99,0.99,0.90,0.94,0.98,0.98,0.99,0.76,1.00,0.59,0.98,0.98,0.90,0.85,0.37,0.84,0.91,0.86,0.70,0.85,0.85,0.89,0.72,0.72,0.82,0.91,0.94,0.72,0.98,0.57,0.52,0.83,0.84,0.69,0.77,0.76,0.96,0.96,0.88,0.96,0.94,0.93,0.90,0.66,0.98,0.89,0.84,0.83,0.68,0.98,0.82,0.53,0.53,0.99,0.59,0.87,0.54,0.63,0.73,0.95,0.37,0.57,0.58,0.67,0.68,0.59,0.45,0.52,0.56,0.70,0.59,0.59,0.71,0.47,0.58,0.56,0.56
129-3,NaN,1.00,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.00,0.99,0.93,0.91,0.94,0.93,0.94,0.97,0.97,0.95,0.94,0.95,0.95,0.94,0.94,0.97,0.98,0.93,0.93,0.95,0.97,0.96,0.93,0.96,0.96,0.96,0.92,0.93,0.93,0.96,0.96,0.96,0.96,0.63,0.98,0.98,0.92,0.84,0.89,0.96,0.91,0.88,0.92,0.86,0.87,0.96,0.85,0.85,0.90,0.91,0.87,0.88,0.87,0.96,0.96,0.84,0.84,0.78,0.76,0.76,0.82,0.82,0.89,0.81,0.82,0.81,0.74,0.69,0.87,0.81,0.77,0.80,0.66,0.80,0.79,0.76,0.70,0.74,0.82,0.68,0.58,0.64,0.74,0.66,0.47,0.60,0.73,0.75,0.61,0.65,0.64,0.55,0.50,0.55,0.72,0.72,0.75,0.46,0.62,0.67,0.55
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.75,0.82,0.80,0.75,0.72,0.99,1.00,0.94,1.00,0.96,0.86,0.90,0.53,0.50,0.88,0.91,0.91,0.87,0.88,0.91,0.91,0.88,1.00,0.87,0.94,0.85,0.85,0.89,0.94,0.88,0.91,0.97,0.96,0.95,0.50,0.54,0.90,0.97,0.90,0.88,0.97,0.66,0.96,0.96,0.96,0.79,0.95,0.87,0.73,0.82,0.94,0.51,0.51,0.92,0.89,0.89,0.85,0.91,0.52,0.89,0.88,0.86,0.86,0.50,0.50,0.50,0.75,0.75,0.51,0.51,0.89,0.51,0.78,0.78,0.62,0.49,0.77,0.62,0.67,0.72,0.69,0.73,0.67,0.56,0.56,0.77,0.56,0.64,0.59,0.62,0.56,0.58,0.57,0.49,0.60,0.56,0.49,0.50,0.52,0.62,0.50,0.62,0.58,0.58,0.50,0.50,0.50,0.50,0.50
131-2,NaN,0.79,0.86,0.85,0.80,0.78,0.99,0.95,0.87,1.00,0.96,0.90,0.90,0.53,0.50,0.86,0.92,0.92,0.84,0.85,0.91,0.91,0.85,1.00,0.87,0.94,0.83,0.83,0.90,0.94,0.88,0.91,0.97,0.98,0.97,0.50,0.56,0.91,0.96,0.88,0.89,0.97,0.71,0.96,0.96,0.97,0.79,0.95,0.87,0.73,0.66,0.94,0.51,0.51,0.92,0.85,0.85,0.85,0.90,0.52,0.89,0.90,0.86,0.86,0.50,0.50,0.50,0.76,0.76,0.51,0.51,0.90,0.51,0.82,0.81,0.62,0.49,0.78,0.64,0.67,0.73,0.70,0.73,0.67,0.56,0.56,0.84,0.56,0.63,0.59,0.62,0.56,0.57,0.56,0.49,0.59,0.57,0.49,0.50,0.51,0.60,0.50,0.60,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-3,NaN,0.87,0.82,0.80,0.80,0.78,0.95,0.99,0.99,1.00,0.93,0.89,0.86,0.63,0.60,0.90,0.93,0.93,0.90,0.90,0.93,0.93,0.90,1.00,0.90,0.94,0.91,0.91,0.92,0.96,0.94,0.86,1.00,0.97,0.95,0.62,0.69,0.94,0.96,0.91,0.94,0.99,0.90,0.98,0.98,0.95,0.76,0.95,0.90,0.81,0.87,0.92,0.54,0.56,0.83,0.85,0.85,0.85,0.93,0.61,0.79,0.90,0.81,0.80,0.53,0.55,0.51,0.84,0.84,0.65,0.65,0.89,0.65,0.82,0.82,0.60,0.54,0.78,0.59,0.64,0.76,0.78,0.72,0.71,0.59,0.56,0.76,0.58,0.71,0.64,0.64,0.55,0.55,0.62,0.53,0.62,0.60,0.50,0.51,0.53,0.61,0.55,0.61,0.55,0.55,0.54,0.50,0.50,0.52,0.49
132-1,NaN,1.00,0.97,0.97,0.98,0.98,0.93,0.94,0.93,0.98,0.96,0.90,0.90,0.76,0.64,0.92,0.88,0.88,0.92,0.92,0.88,0.88,0.93,0.88,0.93,0.95,0.86,0.91,0.90,0.90,0.91,0.97,0.90,0.96,0.95,0.75,0.88,0.86,0.96,0.96,0.90,0.98,0.99,0.89,0.96,0.94,0.87,0.92,0.96,0.79,0.88,0.86,0.75,0.78,0.88,0.78,0.78,0.96,0.92,0.80,0.83,0.84,0.91,0.90,0.58,0.58,0.61,0.72,0.73,0.81,0.79,0.89,0.79,0.79,0.79,0.69,0.51,0.77,0.83,0.73,0.76,0.74,0.73,0.71,0.76,0.77,0.88,0.77,0.74,0.83,0.70,0.79,0.82,0.83,0.51,0.76,0.73,0.47,0.59,0.61,0.67,0.50,0.64,0.76,0.81,0.74,0.62,0.54,0.61,0.50
132-2,NaN,1.00,0.95,0.95,0.97,0.96,0.93,0.94,0.93,0.98,0.96,0.90,0.90,0.76,0.64,0.92,0.88,0.88,0.92,0.92,0.88,0.88,0.93,0.87,0.93,0.94,0.88,0.93,0.90,0.89,0.91,0.97,0.88,0.96,0.94,0.75,0.88,0.85,0.96,0.96,0.90,0.98,0.99,0.87,0.96,0.94,0.87,0.92,0.96,0.79,0.88,0.86,0.75,0.78,0.86,0.78,0.78,0.96,0.90,0.80,0.81,0.84,0.91,0.90,0.58,0.58,0.61,0.72,0.74,0.81,0.79,0.88,0.79,0.79,0.79,0.69,0.51,0.77,0.85,0.73,0.76,0.74,0.74,0.71,0.78,0.79,0.87,0.79,0.73,0.74,0.70,0.79,0.82,0.67,0.51,0.76,0.73,0.47,0.58,0.61,0.69,0.50,0.66,0.80,0.85,0.74,0.62,0.54,0.61,0.53
65-1,NaN,1.00,0.81,0.87,0.94,0.78,0.99,0.69,0.69,1.00,0.95,0.73,0.75,0.68,0.60,0.73,0.81,0.81,0.76,0.73,0.85,0.84,0.73,0.69,0.75,0.87,0.72,0.70,0.69,0.90,0.70,0.76,0.93,0.85,0.88,0.58,0.77,0.53,0.90,0.75,0.69,0.79,0.76,0.90,0.90,0.72,0.71,0.89,0.75,0.66,0.84,0.67,0.58,0.57,0.79,0.88,0.82,0.77,0.68,0.61,0.85,0.64,0.85,0.84,0.59,0.62,0.59,0.56,0.55,0.52,0.52,0.64,0.54,0.60,0.60,0.76,0.44,0.66,0.62,0.84,0.65,0.52,0.62,0.63,0.62,0.60,0.89,0.63,0.70,0.55,0.75,0.56,0.57,0.61,0.52,0.55,0.74,0.48,0.56,0.51,0.49,0.54,0.49,0.50,0.50,0.67,0.49,0.50,0.49,0.61
65-2,NaN,1.00,0.82,0.87,0.94,0.79,0.99,0.74,0.73,1.00,0.95,0.73,0.78,0.69,0.61,0.73,0.82,0.82,0.75,0.73,0.87,0.85,0.73,0.76,0.75,0.87,0.71,0.70,0.70,0.90,0.72,0.78,0.93,0.86,0.88,0.58,0.77,0.55,0.90,0.76,0.71,0.80,0.75,0.90,0.90,0.73,0.72,0.90,0.77,0.67,0.84,0.68,0.62,0.67,0.78,0.88,0.82,0.78,0.67,0.65,0.85,0.66,0.84,0.84,0.59,0.63,0.60,0.57,0.55,0.53,0.53,0.65,0.54,0.61,0.60,0.76,0.47,0.68,0.63,0.82,0.64,0.53,0.66,0.62,0.61,0.59,0.91,0.63,0.69,0.56,0.75,0.55,0.57,0.62,0.53,0.56,0.73,0.49,0.61,0.51,0.48,0.55,0.46,0.50,0.50,0.66,0.49,0.50,0.49,0.67
65-3,NaN,1.00,0.82,0.87,0.95,0.79,0.98,0.69,0.67,1.00,0.95,0.73,0.77,0.70,0.61,0.73,0.82,0.82,0.75,0.73,0.87,0.85,0.73,0.70,0.74,0.88,0.71,0.70,0.68,0.90,0.69,0.78,0.93,0.86,0.88,0.58,0.77,0.54,0.90,0.75,0.69,0.79,0.76,0.90,0.90,0.72,0.81,0.90,0.78,0.66,0.84,0.67,0.62,0.64,0.78,0.87,0.81,0.78,0.68,0.64,0.88,0.65,0.84,0.84,0.60,0.63,0.60,0.56,0.56,0.54,0.55,0.65,0.55,0.60,0.60,0.74,0.49,0.69,0.63,0.83,0.66,0.54,0.67,0.62,0.61,0.59,0.89,0.63,0.68,0.55,0.75,0.56,0.55,0.61,0.53,0.59,0.74,0.50,0.63,0.51,0.48,0.55,0.45,0.50,0.50,0.66,0.49,0.50,0.49,0.74
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,1.00,0.99,1.00,1.00,1.00,0.99,0.87,0.83,1.00,0.98,0.97,0.97,0.96,NaN,0.97,1.00,1.00,0.97,0.96,1.00,1.00,0.96,0.98,0.98,0.96,0.89,0.90,0.98,0.98,0.99,0.78,0.99,0.97,0.96,NaN,0.94,0.95,0.98,0.97,0.98,0.98,0.99,0.96,0.96,0.94,0.81,0.99,0.86,0.72,NaN,0.98,0.77,0.77,0.99,0.98,0.98,0.87,0.92,0.63,1.00,0.88,0.98,0.97,0.44,0.44,0.45,0.83,0.83,0.69,0.68,0.90,0.68,0.78,0.77,0.69,0.62,0.67,0.73,0.80,0.72,0.83,0.66,0.59,0.81,0.81,0.88,0.85,0.90,0.73,0.89,NaN,0.70,0.67,0.65,0.85,0.71,0.49,0.56,0.76,0.66,0.56,0.66,0.66,0.66,0.37,0.49,0.46,0.81,0.46
69-2,NaN,1.00,0.97,0.98,0.98,0.98,0.99,0.94,0.93,1.00,0.97,0.97,0.96,0.90,0.89,0.96,0.96,0.96,0.97,0.96,0.96,0.96,0.96,0.92,0.96,0.95,0.93,0.93,0.96,0.98,0.96,0.88,0.99,0.96,0.96,0.91,0.89,0.91,0.97,0.92,0.96,0.98,0.99,0.97,0.96,0.93,0.91,0.93,0.89,0.89,0.84,0.94,0.89,0.89,0.95,0.93,0.93,0.87,0.91,0.85,0.90,0.89,0.90,0.93,0.77,0.83,0.78,0.70,0.70,0.78,0.78,0.88,0.78,0.79,0.78,0.71,0.68,0.74,0.76,0.72,0.72,0.64,0.71,0.63,0.81,0.78,0.84,0.82,0.81,0.75,0.77,0.79,0.71,0.72,0.57,0.86,0.76,0.58,0.63,0.67,0.60,0.48,0.59,0.54,0.54,0.76,0.49,0.52,0.55,0.56
70-1,NaN,0.50,0.90,0.89,0.90,0.89,0.95,0.80,0.81,1.00,0.93,0.93,0.95,0.50,0.50,0.94,0.95,0.95,0.94,0.94,0.92,0.94,0.94,0.90,0.95,0.91,0.95,0.95,0.90,0.96,0.92,0.91,0.96,0.90,0.91,0.50,0.81,0.95,0.95,0.86,0.92,0.94,0.95,0.96,0.96,0.90,0.87,0.89,0.78,0.93,0.50,0.91,0.50,0.50,0.93,0.94,0.94,0.74,0.88,0.50,0.88,0.90,0.91,0.84,0.50,0.50,0.50,0.75,0.75,0.82,0.82,0.89,0.82,0.86,0.86,0.66,0.55,0.72,0.75,0.69,0.73,0.71,0.69,0.70,0.55,0.55,0.77,0.55,0.62,0.80,0.61,0.58,0.63,0.73,0.55,0.80,0.78,0.58,0.51,0.60,0.49,0.51,0.48,0.50,0.50,0.72,0.50,0.50,0.51,0.46
70-2,NaN,0.50,0.91,0.85,0.81,0.90,0.50,0.80,0.88,0.56,0.90,0.90,0.88,0.93,0.79,0.91,0.92,0.92,0.95,0.95,0.94,0.94,0.95,0.77,0.99,0.95,0.92,0.93,0.93,0.75,0.94,0.82,0.79,0.77,0.87,0.88,0.91,0.51,0.62,0.77,0.94,0.65,0.93,0.57,0.56,0.54,0.58,0.53,0.84,0.86,0.50,0.88,0.85,0.78,0.96,0.97,0.97,0.77,0.86,0.81,0.95,0.83,0.87,0.95,0.54,0.63,0.55,0.71,0.71,0.81,0.81,0.62,0.82,0.83,0.82,0.53,0.46,0.75,0.74,0.61,0.63,0.73,0.74,0.76,0.63,0.63,0.66,0.62,0.66,0.62,0.52,0.60,0.55,0.51,0.50,0.60,0.50,0.59,0.50,0.52,0.53,0.48,0.53,0.50,0.50,0.74,0.50,0.57,0.56,0.54
70-3,NaN,0.50,0.96,0.96,0.50,0.50,0.65,0.74,0.79,0.56,0.97,0.96,0.89,0.85,0.82,0.97,0.78,0.78,0.93,0.97,0.77,0.77,0.97,0.90,0.79,0.93,0.88,0.88,0.76,0.58,0.79,0.93,0.59,0.81,0.87,0.82,0.89,0.62,0.59,0.90,0.85,0.64,0.66,0.56,0.56,0.82,0.78,0.63,0.81,0.50,0.73,0.80,0.50,0.50,0.80,0.79,0.79,0.77,0.91,0.50,0.82,0.58,0.57,0.68,0.50,0.50,0.50,0.69,0.63,0.49,0.49,0.73,0.49,0.80,0.45,0.54,0.56,0.50,0.66,0.58,0.73,0.64,0.49,0.64,0.61,0.61,0.51,0.60,0.57,0.59,0.64,0.63,0.50,0.55,0.51,0.50,0.67,0.56,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.61,0.50,0.61,0.57,0.49
72-1,NaN,0.88,0.71,0.68,0.68,0.70,0.95,0.88,0.77,1.00,0.93,0.83,0.82,0.50,0.50,0.91,0.77,0.77,0.91,0.91,0.76,0.76,0.91,1.00,0.80,0.89,0.89,0.89,0.79,0.88,0.80,0.87,0.91,0.92,0.88,0.50,0.53,0.76,0.89,0.83,0.80,0.87,0.70,0.89,0.89,0.93,0.70,0.95,0.84,0.62,0.59,0.78,0.50,0.50,0.85,0.76,0.76,0.81,0.89,0.51,0.79,0.76,0.77,0.76,0.50,0.50,0.50,0.72,0.72,0.51,0.51,0.85,0.50,0.68,0.68,0.59,0.49,0.62,0.60,0.58,0.61,0.68,0.60,0.62,0.62,0.62,0.66,0.61,0.58,0.63,0.61,0.55,0.53,0.66,0.49,0.62,0.56,0.49,0.49,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
