ID-model,GO:0005575,GO:0044456,GO:0045202,GO:0005783,GO:0031981,GO:0005654,GO:0030054,GO:0070013,GO:0005615,GO:0043233,GO:0044428,GO:0031974,GO:0043005,GO:0005887,GO:0005634,GO:0044427,GO:0097458,GO:0005694,GO:0031226,GO:0005856,GO:0070161,GO:0044430,GO:0005730,GO:0044463,GO:0005739,GO:0043234,GO:0042995,GO:0005912,GO:0032991,GO:0044421,GO:0005576,GO:0044459,GO:0044425,GO:0005886,GO:0071944,GO:0043228,GO:0043232,GO:0044446,GO:0030424,GO:0044422,GO:0005794,GO:0043231,GO:0005924,GO:0016020,GO:0016021,GO:0012505,GO:0030055,GO:0043229,GO:0031224,GO:0031988,GO:0031982,GO:0043226,GO:0043230,GO:0065010,GO:0070062,GO:0005925,GO:0043227,GO:0005829,GO:0044424,GO:0005622,GO:0044444,GO:0005623,GO:0005737,GO:0044464
83-1,NaN,0.98,0.96,0.70,0.82,0.84,0.81,0.78,0.75,0.78,0.84,0.78,0.91,0.86,0.83,0.94,0.90,0.93,0.86,0.75,0.84,0.75,0.69,0.89,0.73,0.72,0.88,0.84,0.72,0.66,0.67,0.85,0.76,0.71,0.75,0.71,0.71,0.68,0.81,0.67,0.67,0.57,0.77,0.62,0.87,0.71,0.77,0.56,0.87,0.64,0.64,0.58,0.58,0.58,0.58,0.77,0.57,0.56,0.50,0.50,0.48,0.50,0.46,0.48
83-2,NaN,0.98,0.96,0.70,0.82,0.84,0.82,0.79,0.75,0.79,0.84,0.79,0.91,0.86,0.83,0.94,0.91,0.94,0.86,0.76,0.84,0.76,0.69,0.90,0.73,0.72,0.88,0.84,0.72,0.66,0.68,0.85,0.77,0.71,0.73,0.72,0.72,0.68,0.81,0.67,0.67,0.56,0.77,0.62,0.87,0.71,0.77,0.56,0.87,0.67,0.67,0.58,0.58,0.58,0.58,0.77,0.57,0.57,0.50,0.50,0.48,0.49,0.46,0.47
84-1,NaN,0.76,0.72,0.50,0.59,0.57,0.46,0.57,0.48,0.57,0.62,0.57,0.63,0.55,0.57,0.65,0.69,0.67,0.55,0.48,0.49,0.43,0.53,0.59,0.62,0.66,0.57,0.49,0.70,0.42,0.39,0.68,0.75,0.65,0.73,0.50,0.50,0.50,0.64,0.50,0.58,0.57,0.49,0.58,0.85,0.75,0.49,0.54,0.85,0.41,0.41,0.51,0.50,0.50,0.50,0.50,0.54,0.63,0.55,0.56,0.58,0.61,0.60,0.61
85-1,NaN,0.78,0.72,0.85,0.82,0.95,0.79,0.81,0.67,0.79,0.81,0.79,0.64,0.76,0.81,0.72,0.64,0.69,0.75,0.74,0.77,0.73,0.71,0.68,0.78,0.68,0.68,0.74,0.67,0.67,0.69,0.73,0.66,0.70,0.69,0.66,0.66,0.65,0.66,0.63,0.71,0.72,0.67,0.62,0.70,0.74,0.67,0.69,0.70,0.60,0.60,0.62,0.56,0.56,0.56,0.61,0.62,0.54,0.61,0.62,0.57,0.56,0.55,0.56
85-2,NaN,0.74,0.67,0.81,0.76,0.91,0.80,0.74,0.77,0.73,0.75,0.72,0.55,0.69,0.82,0.75,0.53,0.70,0.68,0.77,0.79,0.73,0.71,0.59,0.76,0.63,0.60,0.77,0.61,0.71,0.75,0.65,0.54,0.64,0.61,0.65,0.65,0.63,0.62,0.61,0.70,0.68,0.72,0.57,0.55,0.62,0.72,0.64,0.53,0.66,0.66,0.73,0.56,0.56,0.56,0.69,0.73,0.50,0.59,0.59,0.50,0.54,0.50,0.55
86-1,NaN,0.70,0.65,0.66,0.56,0.54,0.57,0.56,0.56,0.56,0.60,0.56,0.52,0.66,0.70,0.54,0.51,0.54,0.66,0.67,0.55,0.65,0.52,0.49,0.69,0.61,0.54,0.55,0.60,0.53,0.54,0.65,0.61,0.63,0.62,0.58,0.58,0.60,0.49,0.59,0.52,0.67,0.56,0.60,0.61,0.49,0.56,0.65,0.61,0.51,0.50,0.60,0.50,0.50,0.50,0.56,0.59,0.53,0.59,0.60,0.59,0.52,0.56,0.54
86-2,NaN,0.70,0.65,0.66,0.56,0.54,0.57,0.56,0.56,0.56,0.60,0.56,0.52,0.66,0.70,0.54,0.51,0.54,0.66,0.67,0.55,0.65,0.52,0.49,0.69,0.61,0.54,0.55,0.60,0.53,0.54,0.65,0.61,0.63,0.62,0.58,0.58,0.60,0.49,0.59,0.52,0.67,0.56,0.60,0.61,0.49,0.56,0.65,0.61,0.51,0.50,0.60,0.50,0.50,0.50,0.56,0.59,0.53,0.59,0.60,0.59,0.52,0.56,0.54
86-3,NaN,0.65,0.61,0.63,0.56,0.54,0.57,0.56,0.56,0.56,0.55,0.56,0.49,0.66,0.69,0.50,0.49,0.50,0.66,0.59,0.55,0.57,0.52,0.49,0.62,0.58,0.52,0.55,0.57,0.53,0.54,0.66,0.59,0.59,0.58,0.55,0.55,0.53,0.49,0.52,0.52,0.66,0.56,0.58,0.61,0.49,0.56,0.64,0.61,0.50,0.50,0.58,0.50,0.50,0.50,0.56,0.57,0.53,0.59,0.58,0.55,0.54,0.55,0.55
87-1,NaN,0.78,0.79,0.81,0.66,0.61,0.66,0.66,0.69,0.66,0.64,0.66,0.61,0.68,0.75,0.64,0.64,0.66,0.68,0.68,0.65,0.65,0.61,0.57,0.69,0.60,0.61,0.65,0.59,0.60,0.65,0.69,0.75,0.71,0.70,0.60,0.60,0.61,0.48,0.60,0.76,0.65,0.65,0.65,0.79,0.55,0.65,0.61,0.79,0.57,0.57,0.62,0.50,0.50,0.50,0.62,0.62,0.57,0.56,0.56,0.56,0.50,0.54,0.49
87-2,NaN,0.79,0.79,0.81,0.66,0.61,0.66,0.66,0.65,0.66,0.64,0.66,0.61,0.68,0.73,0.64,0.64,0.66,0.68,0.68,0.65,0.65,0.60,0.57,0.69,0.61,0.61,0.65,0.60,0.60,0.65,0.70,0.77,0.71,0.70,0.60,0.60,0.61,0.48,0.60,0.75,0.64,0.65,0.66,0.80,0.55,0.65,0.60,0.80,0.57,0.57,0.61,0.50,0.50,0.50,0.62,0.62,0.58,0.56,0.56,0.54,0.51,0.53,0.50
87-3,NaN,0.68,0.71,0.75,0.62,0.62,0.67,0.62,0.57,0.62,0.61,0.62,0.55,0.65,0.69,0.54,0.59,0.57,0.65,0.63,0.63,0.63,0.56,0.55,0.76,0.63,0.60,0.63,0.60,0.54,0.60,0.69,0.70,0.66,0.64,0.58,0.58,0.55,0.49,0.54,0.61,0.63,0.62,0.61,0.80,0.69,0.62,0.59,0.79,0.52,0.52,0.56,0.50,0.50,0.50,0.59,0.57,0.54,0.56,0.56,0.57,0.55,0.56,0.54
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.42,0.40,0.49,0.56,0.59,0.59,0.56,0.50,0.56,0.55,0.56,0.37,0.49,0.55,0.48,0.37,0.48,0.49,0.48,0.55,0.50,0.50,0.37,0.50,0.49,0.40,0.55,0.49,0.50,0.50,0.42,0.41,0.43,0.43,0.48,0.48,0.50,0.37,0.50,0.48,0.52,0.56,0.51,0.48,0.36,0.59,0.51,0.48,0.51,0.51,0.57,0.50,0.50,0.50,0.56,0.58,0.52,0.50,0.49,0.48,0.42,0.50,0.44
91-2,NaN,0.50,0.50,0.49,0.57,0.60,0.56,0.56,0.50,0.56,0.55,0.56,0.50,0.49,0.55,0.48,0.50,0.48,0.49,0.48,0.55,0.50,0.50,0.50,0.50,0.49,0.49,0.55,0.49,0.50,0.50,0.51,0.49,0.51,0.51,0.48,0.48,0.50,0.50,0.50,0.48,0.52,0.56,0.52,0.48,0.48,0.56,0.52,0.48,0.51,0.51,0.58,0.50,0.50,0.50,0.56,0.58,0.55,0.50,0.49,0.50,0.42,0.50,0.44
91-3,NaN,0.43,0.41,0.50,0.60,0.52,0.66,0.61,0.52,0.61,0.58,0.61,0.37,0.38,0.52,0.47,0.37,0.47,0.38,0.51,0.47,0.50,0.58,0.37,0.52,0.46,0.40,0.47,0.46,0.51,0.51,0.40,0.41,0.43,0.43,0.56,0.56,0.54,0.37,0.54,0.56,0.52,0.47,0.52,0.38,0.36,0.72,0.51,0.37,0.52,0.52,0.55,0.52,0.52,0.52,0.47,0.55,0.47,0.50,0.49,0.47,0.42,0.50,0.44
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.78,0.50,0.50,0.50,0.50,0.78,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.52,0.50,0.53,0.50,0.50,0.70,0.66,0.57,0.58,0.50,0.50,0.49,0.50,0.49,0.50,0.50,0.50,0.55,0.71,0.49,0.50,0.48,0.71,0.50,0.50,0.46,0.50,0.50,0.50,0.50,0.46,0.50,0.52,0.52,0.50,0.54,0.54,0.54
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.78,0.50,0.50,0.50,0.50,0.78,0.50,0.50,0.50,0.50,0.50,0.50,0.54,0.52,0.50,0.55,0.50,0.50,0.69,0.67,0.59,0.60,0.50,0.50,0.49,0.50,0.48,0.50,0.49,0.50,0.56,0.71,0.48,0.50,0.47,0.71,0.50,0.50,0.44,0.50,0.50,0.50,0.50,0.44,0.50,0.52,0.51,0.51,0.54,0.54,0.54
94-1,NaN,0.74,0.79,0.76,0.74,0.76,0.63,0.73,0.59,0.73,0.71,0.73,0.61,0.73,0.79,0.68,0.68,0.70,0.73,0.74,0.63,0.69,0.63,0.58,0.79,0.69,0.64,0.63,0.67,0.57,0.63,0.72,0.78,0.69,0.69,0.68,0.68,0.67,0.54,0.66,0.71,0.73,0.65,0.68,0.85,0.70,0.65,0.69,0.85,0.53,0.53,0.63,0.50,0.50,0.50,0.62,0.64,0.51,0.64,0.63,0.61,0.56,0.62,0.56
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.48,0.58,0.63,0.53,0.56,0.54,0.55,0.56,0.55,0.49,0.43,0.57,0.47,0.49,0.46,0.43,0.55,0.52,0.54,0.49,0.47,0.53,0.36,0.45,0.52,0.36,0.56,0.58,0.44,0.36,0.45,0.44,0.46,0.46,0.48,0.50,0.47,0.56,0.52,0.53,0.46,0.40,0.43,0.53,0.48,0.40,0.56,0.55,0.71,0.50,0.50,0.50,0.53,0.74,0.47,0.42,0.40,0.39,0.25,0.43,0.30
96-2,NaN,0.49,0.48,0.49,0.59,0.54,0.51,0.59,0.51,0.58,0.60,0.60,0.48,0.46,0.55,0.53,0.47,0.52,0.45,0.49,0.53,0.49,0.49,0.48,0.49,0.36,0.42,0.53,0.36,0.55,0.56,0.36,0.36,0.41,0.40,0.46,0.46,0.48,0.49,0.47,0.45,0.51,0.48,0.46,0.40,0.43,0.48,0.48,0.39,0.58,0.58,0.71,0.51,0.51,0.51,0.48,0.74,0.47,0.42,0.40,0.40,0.25,0.43,0.30
96-3,NaN,0.49,0.48,0.48,0.56,0.58,0.59,0.57,0.51,0.56,0.56,0.56,0.46,0.45,0.56,0.49,0.46,0.48,0.45,0.51,0.52,0.47,0.54,0.45,0.46,0.35,0.44,0.52,0.35,0.60,0.59,0.39,0.34,0.44,0.42,0.47,0.47,0.48,0.49,0.47,0.57,0.51,0.51,0.49,0.38,0.39,0.51,0.48,0.38,0.60,0.60,0.71,0.51,0.51,0.51,0.51,0.73,0.45,0.42,0.40,0.40,0.25,0.44,0.29
97-1,NaN,0.55,0.57,0.65,0.66,0.57,0.56,0.68,0.56,0.68,0.65,0.68,0.53,0.66,0.78,0.69,0.53,0.76,0.66,0.61,0.52,0.61,0.64,0.53,0.72,0.56,0.55,0.52,0.53,0.54,0.62,0.68,0.81,0.65,0.64,0.64,0.64,0.61,0.50,0.62,0.66,0.74,0.50,0.63,0.84,0.74,0.50,0.72,0.84,0.51,0.51,0.64,0.50,0.50,0.50,0.50,0.63,0.56,0.68,0.68,0.59,0.62,0.61,0.64
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.83,0.83,0.67,0.58,0.57,0.47,0.55,0.55,0.55,0.53,0.55,0.88,0.74,0.53,0.67,0.88,0.69,0.74,0.60,0.47,0.62,0.56,0.84,0.73,0.60,0.72,0.45,0.60,0.53,0.52,0.73,0.74,0.60,0.61,0.57,0.57,0.44,0.79,0.45,0.47,0.54,0.38,0.62,0.82,0.73,0.37,0.53,0.82,0.48,0.47,0.55,0.50,0.50,0.73,0.38,0.56,0.53,0.55,0.55,0.49,0.56,0.55,0.57
99-1,NaN,0.70,0.81,0.81,0.80,0.85,0.83,0.78,0.72,0.78,0.80,0.77,0.69,0.86,0.78,0.75,0.67,0.79,0.86,0.78,0.78,0.74,0.69,0.77,0.73,0.70,0.71,0.78,0.67,0.64,0.65,0.81,0.70,0.72,0.71,0.69,0.69,0.68,0.67,0.66,0.71,0.73,0.63,0.65,0.73,0.75,0.63,0.72,0.73,0.58,0.57,0.60,0.55,0.55,0.55,0.63,0.59,0.59,0.66,0.65,0.60,0.60,0.60,0.61
